Submission ID,Respondent ID,Submitted at,Untitled checkboxes field,Untitled checkboxes field (我同意我的回答做為研究和設計使用),選擇一種動物來代表你/妳自己（什麼都可以）：,你/妳在哪所大學念書？,如果你/妳的學校未列出，請在此處寫下：,你/妳的學習階段：,你/妳的學習科系：,你/妳現在的學歷狀態是什麼？,你/妳來自哪個國家？,你/妳幾歲？,如果你/妳懷疑你/妳要買的番茄可能是由強迫勞工（現代奴隸）採摘的，你/妳仍然會買它嗎？,你/妳會買哪一種番茄？,你/妳關心食安嗎？,你/妳會買哪種雞蛋？,你/妳買哪種牛奶？,你/妳7年內買車嗎？🚘,你/妳7年內買房嗎？🏡,你/妳購物時知道產品環保嗎？,你/妳有信任的品牌嗎？,你/妳覺得認證環保的公司更好嗎？,你/妳支持肉稅嗎？,你/妳關心食用雞的生活嗎？,你/妳避免吃肉嗎？,你/妳有沒有抵制過某公司？,為什麼抵制？,你/妳覺得你/妳花錢會影響環境嗎？,你/妳會對金錢感到焦慮嗎？,你/妳會對金錢很節儉嗎？,你/妳會經常存錢嗎？,你/妳對自己的財務知識滿意嗎？,你/妳覺得目前有任何投資嗎？,你/妳有投資經驗如何？,你/妳選哪個投資？,你/妳投資會考慮環保嗎？,你/妳覺得台灣的經濟目標是增長嗎？,你/妳覺台灣的得環境退化是台灣的經濟增長的前提嗎？,你/妳覺得台灣的經濟增長有助於保護環境嗎？,你/妳覺得經濟能不排CO2也增長嗎？,你/妳覺得經濟增長有物質限制嗎？,你/妳會每天都用AI嗎？,你/妳會信任AI嗎？,你/妳想要AI扮什麼角色？,其他,你/妳想要AI有個造型嗎？,你/妳喜歡如何與AI溝通？,你/妳喜歡待在大自然嗎？,你/妳擔心氣候變化嗎？,你/妳對環境污染情況會感到焦慮嗎？,你/妳知道許多植物和動物的名字嗎？,你/妳覺得如何依照生態系對環境惡化的敏感度來排名？,你/妳感覺自己和大自然很接近嗎？,你/妳努力實踐低碳生活嗎？,誰或什麼對你/妳環保態度影響最大的？,你/妳想做更多環保事嗎？,你/妳對環境相關政治議題有興趣嗎？,你/妳怎去學校？,你/妳今年（2025年）搭飛機幾次？✈️,* 例如搭飛機會產生碳排放，可以購買碳抵消來種樹,你/妳信任碳排放抵消額度嗎？,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些?,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看產品的運輸距離（是不是當地食品）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司生產過程多環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司工人的員工福利多好),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看AI摘要的消費者對公司環保的評論),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (用社交網絡認識其他環保的同學),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解哪些產品污染最嚴重，以便避免它們),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (每個月查看我自己的環保分數報告（了解我用錢的方式多環保）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先尋找有機產品),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (跟我的AI幫手討論環保問題),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看公司的環保認證和生態評分),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (如何讓我支持的公司更環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解我吃的動物性食品，動物的生活環境),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (老實說我對任何環保資訊都沒有太多興趣),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前比較公司的環保表現),其他選項,每月你/妳願意支付多少錢讓AI陪伴你/妳做更環保的財務決策？,你/妳的環保行動對環境保護有效果嗎？,你/妳想在行業內推環保嗎？,你/妳得自己對新觀念開放嗎？,你/妳的大學對可環保性支持嗎？,你/妳覺得大學生如何影響公司的可持續行為？,你/妳的MBTI？（選填）
WA0Xle,N7bMkG,2023-10-19 05:18:05,我同意我的回答做為研究和設計使用,True,貓,國立成功大學 National Cheng Kung University (NCKU),,碩士,資訊工程研究所,我還在就讀！,我是台灣人啊 🇹🇼！,23.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,5,3,3,有,4,3,4,3,沒有,,5,5,5,5,2,沒有,無,股市基金。年化回報 5-15%,4,4,4,2,2,4,4,4,"助手, 幫手, 夥伴, 老師, 導師, 教練, 朋友",,5,語音,4,4,5,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",3,3,無,5,1,摩托車,1,有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 買東西先查看公司工人的員工福利多好, 投資前查看公司的環保認證和生態評分, 投資前查看AI摘要的消費者對公司環保的評論, 投資前比較公司的環保表現, 如何讓我支持的公司更環保, 跟我的AI幫手討論環保問題, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 用社交網絡認識其他環保的同學",True,True,True,True,True,True,True,True,True,True,True,True,False,True,,如果免費的話我會用它,4,4,5,5,不確定,
eBE8xQ,X481j4,2023-10-19 05:18:11,我同意我的回答做為研究和設計使用,True,狗,國立成功大學 National Cheng Kung University (NCKU),,碩士,CSIE,我還在就讀！,我是台灣人啊 🇹🇼！,24.0,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,4,3,Yes,4,4,4,3,有,食安問題,5,4,3,5,4,有,5年,股市基金。年化回報 5-15%,5,4,3,4,4,3,5,4,"助手, 夥伴, 朋友, 幫手, 教練, 導師, 老師",,5,逐步延伸討論,5,5,4,5,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",5,4,家庭因素，家教影響最多,4,5,摩托車,6,有,4,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 如何讓我支持的公司更環保, 投資前比較公司的環保表現",True,False,False,False,False,True,False,False,False,False,True,False,False,True,,每月299台幣,4,5,5,5,消費或是在論壇上引導輿論,不知道
OA0KVg,qRJJ4k,2023-10-19 05:19:00,我同意我的回答做為研究和設計使用,True,獨角獸🦄,國立成功大學 National Cheng Kung University (NCKU),,學士,資源工程,我還在就讀！,我是台灣人啊 🇹🇼！,20.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2,1,3,Nike☑️,4,4,2,1,有,因為他不打折（Uber）,4,3,4,4,4,沒有,買運動彩卷,ESG環保投資基金。年化回報 2-7%,4,4,4,4,4,4,5,4,"助手, 導師, 老師, 教練, 幫手, 朋友, 夥伴",,3,還好,3,4,4,2,"熱帶雨林, 珊瑚礁, 草原, 濕地, 沙漠",2,3,蔡英文,3,4,機車,0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 投資前查看AI摘要的消費者對公司環保的評論, 買東西先查看公司工人的員工福利多好, 用社交網絡認識其他環保的同學",True,False,True,True,True,False,False,False,False,False,False,False,False,False,,每月99台幣,3,3,4,4,不環保就不要買,不知道
BGBqjR,g9JYR1,2023-10-19 05:19:21,我同意我的回答做為研究和設計使用,True,水豚,國立成功大學 National Cheng Kung University (NCKU),,學士,資源工程,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,1,價格：700 台幣 / 公斤。強迫勞工的概率：2%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：72 台幣,5,1,3,有,4,4,4,1,有,,3,5,4,2,3,沒有,無,股市基金。年化回報 5-15%,2,1,3,1,2,4,2,4,"教練, 導師, 老師, 助手, 幫手, 夥伴, 朋友",,1,問他我漂不漂亮,4,5,4,4,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,4,你,4,3,"捷運, 其他, 火車, 汽車",6,沒有,2,跟我的AI幫手討論環保問題,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,如果免費的話我會用它,3,3,5,5,當上總裁,INFP
BGBqAe,ExZvyo,2023-10-19 05:19:54,我同意我的回答做為研究和設計使用,True,狗,國立成功大學 National Cheng Kung University (NCKU),,學士,資源工程,我還在就讀！,我是台灣人啊 🇹🇼！,21.0,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,3,2,3,星巴克,4,3,3,1,沒有,,4,5,5,3,2,沒有,有買幾張股票丟著,股市基金。年化回報 5-15%,2,4,4,2,4,2,5,5,"助手, 幫手, 朋友, 導師, 老師, 教練, 夥伴",,5,我喜歡下達指令,5,5,5,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",4,2,教授,4,3,摩托車,0,沒有,4,"買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看AI摘要的消費者對公司環保的評論, 跟我的AI幫手討論環保問題, 買東西先查看產品的運輸距離（是不是當地食品）",True,False,False,True,False,True,False,False,True,False,False,False,False,False,,每月99台幣,2,4,5,4,提出建議,INTP
eBE89x,Z21v00,2023-10-19 05:20:05,我同意我的回答做為研究和設計使用,True,Cat,國立成功大學 National Cheng Kung University (NCKU),,碩士,Computer Science,我還在就讀！,我是台灣人啊 🇹🇼！,25.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,4,,5,4,5,1,有,Environment issue,5,4,4,4,3,有,fixed deposit,股市基金。年化回報 5-15%,4,3,1,2,2,4,5,5,"助手, 夥伴, 幫手, 導師, 老師, 朋友, 教練",,3,Command line,5,5,5,3,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",2,3,Myself,3,4,機車,0,有,3,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看AI摘要的消費者對公司環保的評論",False,True,False,True,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,4,5,4,4,Recycling ,INFJ
DVe90l,g9JYKN,2023-10-19 05:20:28,我同意我的回答做為研究和設計使用,True,樹懶,國立成功大學 National Cheng Kung University (NCKU),,碩士,材料,我還在就讀！,我是台灣人啊 🇹🇼！,23.0,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,3,5,4,chanel,3,3,4,1,有,用料會傷身,3,4,4,3,3,有,無,股市基金。年化回報 5-15%,3,4,4,2,4,5,4,3,"助手, 幫手, 夥伴, 朋友, 教練, 導師, 老師",,3,問問題,4,4,3,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",2,2,排放Co2,4,3,"腳踏車, 走路",2,有,2,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現",False,False,False,True,False,True,False,True,False,True,False,False,False,True,,如果免費的話我會用它,3,4,4,4,環保能源材料發展,ISFJ
BGBVR1,8Z6A6o,2023-10-19 05:21:22,我同意我的回答做為研究和設計使用,True,狗,國立成功大學 National Cheng Kung University (NCKU),,學士,生命科學,我還在就讀！,我是台灣人啊 🇹🇼！,20.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,4,無,4,3,3,1,沒有,,4,1,4,2,2,沒有,無,股市基金。年化回報 5-15%,4,2,4,2,2,4,3,2,"助手, 幫手, 老師, 夥伴, 導師, 教練, 朋友",,2,提出問題，然後得到一個想法或看法，那可能是自己沒思考過的角度或內容最好,4,4,3,3,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",4,2,周圍人，他們的實踐會影響我跟隨或模仿,3,2,機車,0,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 用社交網絡認識其他環保的同學",True,False,False,False,True,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,3,3,4,4,消費力？,INFP
rlERdX,KVWv97,2023-10-19 05:21:23,我同意我的回答做為研究和設計使用,True,穿山甲,國立成功大學 National Cheng Kung University (NCKU),,學士,電機,我還在就讀！,我是台灣人啊 🇹🇼！,21.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,3,1,2,apple,4,1,2,2,有,用地溝油,4,5,4,4,3,沒有,🈚️,股市基金。年化回報 5-15%,2,3,2,4,4,5,3,3,"幫手, 助手, 老師, 導師, 教練, 夥伴, 朋友",,5,閒聊,4,4,4,2,"熱帶雨林, 珊瑚礁, 濕地, 沙漠, 草原",3,3,飲料自帶杯折五塊,3,3,機車,0,沒有,4,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看公司的環保認證和生態評分, 投資前查看AI摘要的消費者對公司環保的評論, 買東西先尋找有機產品, 投資前比較公司的環保表現, 用社交網絡認識其他環保的同學, 如何讓我支持的公司更環保, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題",True,True,True,True,True,True,True,True,True,True,True,True,False,True,,如果免費的話我會用它,4,4,4,4,抗議,INFJ
g54x6M,l6YKK6,2023-10-19 05:26:31,我同意我的回答做為研究和設計使用,True,狐狸,國立成功大學 National Cheng Kung University (NCKU),,學士,生物醫學工程學系,我還在就讀！,我是台灣人啊 🇹🇼！,20.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,1,1,4,無,5,4,4,5,有,使用污染環境的方法生產物品,4,4,5,5,4,沒有,收穫經驗跟金錢,股市基金。年化回報 5-15%,3,4,2,4,4,4,2,4,"老師, 幫手, 助手, 夥伴, 導師, 教練, 朋友",,4,用對話溝通（類似chat gpt）,5,5,4,4,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",5,4,朋友,4,4,機車,0,有,4,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論, 投資前比較公司的環保表現, 如何讓我支持的公司更環保",True,False,True,True,False,True,False,False,False,False,True,True,False,True,,每月99台幣,4,5,5,4,選擇拒買特定產品,INFJ
ylDrBW,kNJJAe,2023-10-19 05:27:09,我同意我的回答做為研究和設計使用,True,狗狗,國立成功大學 National Cheng Kung University (NCKU),,學士,環境工程,我還在就讀！,我是台灣人啊 🇹🇼！,20.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,3,3,4,無,4,2,3,2,有,食品安全問題,3,4,4,4,2,有,股票,股市基金。年化回報 5-15%,5,3,2,2,4,4,2,2,"助手, 幫手, 夥伴, 朋友, 導師, 老師, 教練",,1,文字,3,3,2,1,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",2,2,教授,2,3,"摩托車, 腳踏車",0,沒有,2,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看AI摘要的消費者對公司環保的評論",False,False,False,True,False,True,False,True,False,False,False,False,False,False,,如果免費的話我會用它,2,3,4,5,透過群體表述反應,
Gr0aGz,KVWW6X,2023-10-19 05:29:11,我同意我的回答做為研究和設計使用,True,兔子,國立成功大學 National Cheng Kung University (NCKU),,學士,外文系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,1,價格：700 台幣 / 公斤。強迫勞工的概率：2%,2,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,4,2,2,沒有,4,4,4,1,沒有,,4,5,4,4,4,有,購買定期定額,房地產投資信託。年化回報 2-7%,2,2,4,4,3,4,2,1,"助手, 教練, 幫手, 導師, 老師, 朋友, 夥伴",,4,可以給予有利的建議,2,4,2,2,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",3,2,政府,4,4,"腳踏車, 走路",0,沒有,4,"投資前查看AI摘要的消費者對公司環保的評論, 買東西先查看公司工人的員工福利多好, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 老實說我對任何環保資訊都沒有太多興趣",False,False,True,True,False,False,True,False,False,False,False,False,True,False,,如果免費的話我會用它,4,3,5,4,組織小組呼籲公司,ESFP
qbPXy8,jlJJM4,2023-10-19 05:30:09,我同意我的回答做為研究和設計使用,True,鹿,國立成功大學 National Cheng Kung University (NCKU),,學士,外文系,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,5,3,3,No,3,3,3,3,沒有,,5,3,1,5,3,沒有,No,股市基金。年化回報 5-15%,3,3,5,3,3,3,3,3,"助手, 夥伴, 老師, 幫手, 教練, 朋友, 導師",,1,還可以,3,4,4,3,"珊瑚礁, 熱帶雨林, 沙漠, 濕地, 草原",3,4,買東西的包裝,5,3,腳踏車,10,沒有,3,"買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分",False,False,False,False,False,False,False,True,False,True,False,False,False,False,,如果免費的話我會用它,5,5,5,5,專業能力,ESTJ
jBxXJJ,bWYK02,2023-10-19 05:30:24,我同意我的回答做為研究和設計使用,True,羊,國立成功大學 National Cheng Kung University (NCKU),,學士,外文,我還在就讀！,我是台灣人啊 🇹🇼！,18.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,4,3,3,沒有,4,2,4,1,沒有,,4,5,4,4,2,沒有,沒有,股市基金。年化回報 5-15%,4,5,4,2,2,4,4,4,"助手, 老師, 導師, 幫手, 教練, 朋友, 夥伴",,1,幫我寫功課,4,4,4,3,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",2,3,北極熊,4,2,走路,6,沒有,3,投資前比較公司的環保表現,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,如果免費的話我會用它,3,4,4,4,買東西,ISFP
MA5l6k,z7G2a8,2023-10-19 05:30:57,我同意我的回答做為研究和設計使用,True,水豚,國立成功大學 National Cheng Kung University (NCKU),,學士,外文系,我還在就讀！,我是台灣人啊 🇹🇼！,19.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,4,2,4,沒有,5,4,4,2,沒有,,4,4,2,3,2,沒有,0,股市基金。年化回報 5-15%,4,4,4,4,2,4,3,2,"助手, 幫手, 教練, 夥伴, 朋友, 導師, 老師",,1,我問它問題 它回答我資料,4,4,4,3,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",3,3,朋友,4,4,"腳踏車, 走路",4,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 如何讓我支持的公司更環保",True,True,True,True,False,True,True,False,False,True,True,True,False,True,,如果免費的話我會用它,3,4,5,4,消費行為,ENFP
NA0vKp,qRJJWG,2023-10-19 05:31:32,我同意我的回答做為研究和設計使用,True,老虎,國立成功大學 National Cheng Kung University (NCKU),,學士,牙醫系,我還在就讀！,我是台灣人啊 🇹🇼！,21.0,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,3,3,2,沒有特別,4,1,2,1,有,黑心商品不健康或老闆品德不佳,5,4,2,2,1,沒有,無,股市基金。年化回報 5-15%,3,3,1,3,2,4,4,3,"導師, 幫手, 助手, 老師, 教練, 夥伴, 朋友",,3,都行,4,5,4,4,"珊瑚礁, 濕地, 草原, 熱帶雨林, 沙漠",3,3,氣候變遷,4,3,摩托車,0,沒有,2,"買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 用社交網絡認識其他環保的同學, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,False,False,False,True,True,True,False,False,True,False,False,False,True,,如果免費的話我會用它,3,2,4,4,從自身做起,ESTJ
24rz0g,Y4JJdJ,2023-10-19 05:33:39,我同意我的回答做為研究和設計使用,True,獅子,國立成功大學 National Cheng Kung University (NCKU),,學士,電機工程學系,我還在就讀！,我是台灣人啊 🇹🇼！,19.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,3,2,3,沒有,4,3,2,2,沒有,,4,4,4,4,2,沒有,目前沒有,房地產投資信託。年化回報 2-7%,3,3,4,3,2,4,4,4,"老師, 導師, 幫手, 助手, 教練, 夥伴, 朋友",,2,打字,3,2,3,1,"熱帶雨林, 珊瑚礁, 草原, 濕地, 沙漠",3,2,政府,4,3,"摩托車, 機車, 走路, 腳踏車",0,沒有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司生產過程多環保, 買東西先查看產品的運輸距離（是不是當地食品）",True,True,False,False,False,True,False,False,False,False,False,False,False,False,,每月49台幣,3,2,4,4,投資,ENFJ
kYZXJo,yJojWp,2023-10-19 05:34:08,我同意我的回答做為研究和設計使用,True,樹懶,國立成功大學 National Cheng Kung University (NCKU),,碩士,地科所,我還在就讀！,我是台灣人啊 🇹🇼！,25.0,2,價格：700 台幣 / 公斤。強迫勞工的概率：2%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,3,2,4,Apple,4,3,3,2,沒有,,5,3,4,3,2,有,僅不到一年,股市基金。年化回報 5-15%,4,3,2,3,4,3,5,4,"助手, 幫手, 夥伴, 朋友, 老師, 導師, 教練",,4,問問題,5,5,5,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,3,女友,4,3,摩托車,3,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,False,False,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,4,4,4,4,教育,
Xeq79P,O7bbMY,2023-10-19 05:36:50,我同意我的回答做為研究和設計使用,True,熊,國立成功大學 National Cheng Kung University (NCKU),,學士,法律系,我還在就讀！,我是台灣人啊 🇹🇼！,25.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,4,2,4,無,5,5,5,1,沒有,,5,4,2,4,4,沒有,無,股市基金。年化回報 5-15%,5,4,4,4,2,5,1,2,"導師, 助手, 老師, 教練, 幫手, 夥伴, 朋友",,3,徵詢意見,4,4,3,2,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",4,3,環保杯,4,4,"摩托車, 走路, 火車",2,沒有,4,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,False,False,False,False,True,False,False,False,False,False,False,False,False,,每月99台幣,4,4,4,4,提出方案,ESTP
Ld0x12,o25kE1,2023-10-19 05:52:31,我同意我的回答做為研究和設計使用,True,狗,國立成功大學 National Cheng Kung University (NCKU),,學士,環境工程,我還在就讀！,我是台灣人啊 🇹🇼！,22.0,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,5,沒有,2,4,1,2,沒有,,5,5,3,2,1,沒有,沒有,股市基金。年化回報 5-15%,2,2,2,5,2,3,1,3,"夥伴, 幫手, 助手, 教練, 老師, 導師, 朋友",,4,叫他幫我寫作業😊,5,4,3,1,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3,3,科系,3,3,機車,0,沒有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 老實說我對任何環保資訊都沒有太多興趣",False,False,False,False,False,True,False,False,False,False,False,False,True,False,,如果免費的話我會用它,3,3,4,5,請公司贊助環保相關的企劃,INFP
xdZb9G,JOeWkK,2023-10-19 05:53:21,我同意我的回答做為研究和設計使用,True,烏龜,國立成功大學 National Cheng Kung University (NCKU),,學士,化工,我還在就讀！,我是台灣人啊 🇹🇼！,20.0,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,4,無固定,5,3,3,1,有,黑心環境,4,4,5,5,5,沒有,無,政府債券。年化回報 2-3%,3,4,4,4,4,4,5,3,"助手, 夥伴, 朋友, 教練, 幫手, 老師, 導師",,2,白話文,4,5,5,3,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3,3,生態保育,4,3,"火車, 走路, 腳踏車",0,沒有,1,跟我的AI幫手討論環保問題,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,每月199台幣,2,2,5,4,提供環保方案,ISFJ
WA0bDJ,5ZepqZ,2023-10-19 05:55:00,我同意我的回答做為研究和設計使用,True,貓,國立成功大學 National Cheng Kung University (NCKU),,學士,醫學系,我還在就讀！,我是台灣人啊 🇹🇼！,21.0,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,2,沒有,4,3,3,1,有,有食安問題、政治立場不同,5,5,3,2,2,沒有,無,政府債券。年化回報 2-3%,3,4,3,3,4,4,2,3,"幫手, 助手, 老師, 教練, 導師, 夥伴, 朋友",,4,有簡單對話,3,3,3,2,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",2,2,同儕鼓勵、實際現況數據,4,3,"走路, 機車",4,沒有,4,"買東西先查看公司工人的員工福利多好, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前比較公司的環保表現, 用社交網絡認識其他環保的同學, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 如何讓我支持的公司更環保",True,False,True,False,True,True,True,False,False,False,True,True,False,True,,每月199台幣,3,4,4,4,消費行為、實習公司選擇、公開演說,INFP
