Submission ID,Submitted at,選擇一種動物來代表你/妳自己（什麼都可以）：,你/妳在哪所大學念書？,你/妳的學習階段：,你/妳的學習科系：,你/妳現在的學歷狀態是什麼？,你/妳來自哪個國家？,你/妳幾歲？,如果你/妳懷疑你/妳要買的番茄可能是由強迫勞工（現代奴隸）採摘的，你/妳仍然會買它嗎？,你/妳會買哪一種番茄？,你/妳關心食安嗎？,你/妳會買哪種雞蛋？,你/妳買哪種牛奶？,你/妳7年內買車嗎？🚘,你/妳7年內買房嗎？🏡,你/妳購物時知道產品環保嗎？,你/妳有信任的品牌嗎？,你/妳覺得認證環保的公司更好嗎？,你/妳支持肉稅嗎？,你/妳關心食用雞的生活嗎？,你/妳避免吃肉嗎？,你/妳有沒有抵制過某公司？,為什麼抵制？,你/妳覺得你/妳花錢會影響環境嗎？,你/妳會對金錢感到焦慮嗎？,你/妳會對金錢很節儉嗎？,你/妳會經常存錢嗎？,你/妳對自己的財務知識滿意嗎？,你/妳覺得目前有任何投資嗎？,你/妳有投資經驗如何？,你/妳選哪個投資？,你/妳投資會考慮環保嗎？,你/妳覺得台灣的經濟目標是增長嗎？,你/妳覺台灣的得環境退化是台灣的經濟增長的前提嗎？,你/妳覺得台灣的經濟增長有助於保護環境嗎？,你/妳覺得經濟能不排CO2也增長嗎？,你/妳覺得經濟增長有物質限制嗎？,你/妳會每天都用AI嗎？,你/妳會信任AI嗎？,你/妳想要AI扮什麼角色？,其他,你/妳想要AI有個造型嗎？,你/妳喜歡如何與AI溝通？,你/妳喜歡待在大自然嗎？,你/妳擔心氣候變化嗎？,你/妳對環境污染情況會感到焦慮嗎？,你/妳知道許多植物和動物的名字嗎？,你/妳覺得如何依照生態系對環境惡化的敏感度來排名？,你/妳感覺自己和大自然很接近嗎？,你/妳努力實踐低碳生活嗎？,誰或什麼對你/妳環保態度影響最大的？,你/妳想做更多環保事嗎？,你/妳對環境相關政治議題有興趣嗎？,你/妳怎去學校？,你/妳今年（2023年）搭飛機幾次？✈️,* 例如搭飛機會產生碳排放，可以購買碳抵消來種樹,你/妳信任碳排放抵消額度嗎？,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些?,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看產品的運輸距離（是不是當地食品）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司生產過程多環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司工人的員工福利多好),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看AI摘要的消費者對公司環保的評論),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (用社交網絡認識其他環保的同學),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解哪些產品污染最嚴重，以便避免它們),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (每個月查看我自己的環保分數報告（了解我用錢的方式多環保）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先尋找有機產品),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (跟我的AI幫手討論環保問題),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看公司的環保認證和生態評分),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (如何讓我支持的公司更環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解我吃的動物性食品，動物的生活環境),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (老實說我對任何環保資訊都沒有太多興趣),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前比較公司的環保表現),其他選項,每月你/妳願意支付多少錢讓AI陪伴你/妳做更環保的財務決策？,你/妳的環保行動對環境保護有效果嗎？,你/妳想在行業內推環保嗎？,你/妳得自己對新觀念開放嗎？,你/妳的大學對可環保性支持嗎？,你/妳覺得大學生如何影響公司的可持續行為？,你/妳有加入過什麼學生社團嗎？（選填）,你/妳最擔心什麼？（任何問題都可以，選填）,啟發你/妳的是？（什麼都可以，選填）,你/妳的MBTI？（選填）
pLGqKV,2023-10-19 17:54:24,E. coli,國立成功大學 National Cheng Kung University (NCKU),博士,化學工程所,我還在就讀！,我是台灣人啊 🇹🇼！,23,3,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,4,5,3,Ikea,5,4,4,1,沒有,,5,5,4,4,2,沒有,None,股市基金。年化回報 5-15%,3,4,2,4,1,4,4,4,"助手, 幫手, 導師, 老師, 教練, 朋友, 夥伴",,2,禮貌地詢問,4,5,4,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",2,3,網路資源,4,5,機車,0,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",True,True,False,True,False,True,True,False,False,True,False,True,False,True,,如果免費的話我會用它,2,2,3,5,老實說影響力可能很有限，不過可能可以透過有前景的提案或是具有經濟價值的行動,吉他社,畢不了業、沒有錢,老師、大量閱讀,不知道
VZYG4E,2023-10-19 22:49:39,兔子,"國立臺灣科技大學 National Taiwan University of Science and Technology (TaiwanTech, NTUST)",碩士,產品設計,我還在就讀！,我是台灣人啊 🇹🇼！,24,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,2,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,5,1,3,應該吧 ,3,3,1,3,有,沒良心吧,5,5,4,5,4,有,還不錯,股市基金。年化回報 5-15%,3,4,3,2,3,3,5,4,"助手, 幫手, 夥伴, 導師, 老師, 教練, 朋友",,4,給我直接的答案,4,5,5,2,"草原, 熱帶雨林, 珊瑚礁, 濕地, 沙漠",4,3,不良企業 讓我覺得我的努力都白費,5,3,"走路, 汽車, 捷運, 公車",5,沒有,2,"買東西先查看產品的運輸距離（是不是當地食品）, 用社交網絡認識其他環保的同學, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 如何讓我支持的公司更環保",True,False,False,False,True,False,True,False,False,False,True,False,False,True,,如果免費的話我會用它,2,4,4,5,日常做起 自備餐具水壺（學餐規劃嚴格一點）,,,,
EPDb84,2023-10-20 04:21:28,豬,國立東華大學 National Dong Hwa University (NDHU),學士,民族社會工作學士學位學程,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,3,3,2,沒有,4,3,2,1,沒有,,3,4,4,2,2,沒有,沒有,股市基金。年化回報 5-15%,3,4,4,2,3,4,3,3,"助手, 幫手, 夥伴, 朋友, 導師, 教練, 老師",,3,打字,4,4,3,2,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3,3,學校,4,3,走路,0,沒有,3,買東西先了解哪些產品污染最嚴重，以便避免它們,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,3,3,5,4,投票,沒有,,,INFP
VZY9Pv,2023-10-20 04:31:31,狗,國立成功大學 National Cheng Kung University (NCKU),學士,心理,我還在就讀！,我是台灣人啊 🇹🇼！,20,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,1,1,3,iphone,4,4,3,3,沒有,,4,3,3,4,2,沒有,無,ESG環保投資基金。年化回報 2-7%,3,4,3,3,2,4,1,2,"助手, 幫手, 老師, 教練, 導師, 夥伴, 朋友",,2,有情感的交流，而不是生硬的回答問題,5,4,3,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,3,學校,4,3,"走路, 腳踏車, 摩托車",0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品",True,True,False,False,False,True,False,True,False,False,False,True,False,False,,如果免費的話我會用它,3,4,4,4,提供創新的建議，提高社會參與度,無,未來要做什麼,師長、朋友,ESTP
8d8JW5,2023-10-20 04:50:12,熊,國立東華大學 National Dong Hwa University (NDHU),碩士,材料系,我還在就讀！,我是台灣人啊 🇹🇼！,23,4,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,4,2,5,GU,4,3,3,2,有,品質下降，價格提高,5,5,3,4,2,沒有,家人代理,股市基金。年化回報 5-15%,3,4,2,3,5,4,4,3,"助手, 幫手, 夥伴, 朋友, 老師, 導師, 教練",,5,翻譯,4,3,4,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",4,3,阿姨,3,4,"機車, 走路",0,沒有,2,"跟我的AI幫手討論環保問題, 投資前查看公司的環保認證和生態評分, 買東西先查看公司生產過程多環保",False,True,False,False,False,False,False,False,True,True,False,False,False,False,,每月99台幣,2,3,4,3,從小事做起,,動物驗出疾病要立即銷毀,網路資訊,ISFJ
8d8jRk,2023-10-20 05:13:25,蛇,國立東華大學 National Dong Hwa University (NDHU),學士,華文系,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,2,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,1,1,4,義美（臺灣的一個食物品牌）,5,3,2,1,有,政治因素,5,5,3,1,3,沒有,無,ESG環保投資基金。年化回報 2-7%,3,5,5,3,1,5,1,2,"助手, 幫手, 朋友, 夥伴, 教練, 導師, 老師",戀人（我需要情感依附）,1,下指令。,2,3,2,1,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3,1,金錢。錢可以讓我有能力選擇環保。,4,4,"腳踏車, 走路",0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司工人的員工福利多好, 投資前查看公司的環保認證和生態評分, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,False,True,False,False,True,False,False,False,True,False,True,False,False,,如果免費的話我會用它,2,4,5,2,網路上理性發表意見，影響到社交圈，藉由與論改變公司方針,,容貌,,INFP
QAYzRk,2023-10-20 05:44:55,狐狸,國立東華大學 National Dong Hwa University (NDHU),學士,觀光休閒遊憩,我還在就讀！,我是台灣人啊 🇹🇼！,20,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2,1,4,沒有,4,3,4,2,有,食品安全有問題,5,5,5,2,3,沒有,沒有,股市基金。年化回報 5-15%,3,2,1,4,4,5,1,1,"幫手, 助手, 老師, 教練, 導師, 夥伴, 朋友",,5,人性化的,3,4,2,2,"珊瑚礁, 濕地, 沙漠, 草原, 熱帶雨林",2,1,天氣,2,1,"摩托車, 腳踏車",2,沒有,2,買東西先了解我吃的動物性食品，動物的生活環境,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,如果免費的話我會用它,3,4,5,5,宣導,,,,
xdyRJ9,2023-10-20 05:45:46,浣熊,國立東華大學 National Dong Hwa University (NDHU),學士,觀光暨休閒遊憩學系,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,4,2,1,沒有,4,4,2,1,沒有,,2,4,4,2,1,沒有,無,房地產投資信託。年化回報 2-7%,2,4,2,4,2,4,4,2,"朋友, 夥伴, 老師, 導師, 教練, 幫手, 助手",,4,用文字,4,2,2,1,"熱帶雨林, 珊瑚礁, 濕地, 沙漠, 草原",2,2,老師,4,2,機車,2,沒有,2,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們",False,True,False,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,4,2,2,4,消費行為,熱舞,氣候變遷,,ISTJ
EPDZko,2023-10-20 05:59:00,狗狗,國立東華大學 National Dong Hwa University (NDHU),學士,國際企業學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,4,Uniqlo,4,3,3,1,沒有,,5,5,5,5,2,沒有,無,股市基金。年化回報 5-15%,4,5,2,3,2,4,3,3,"助手, 幫手, 導師, 老師, 教練, 夥伴, 朋友",,4,公事,2,5,5,1,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",1,3,海平面一直上升,5,4,走路,4,沒有,3,投資前查看AI摘要的消費者對公司環保的評論,False,False,False,True,False,False,False,False,False,False,False,False,False,False,查資料,如果免費的話我會用它,3,3,5,5,專題報告來推行環保的東西,系學會、熱舞社,,,ISFJ
RzYZld,2023-10-20 06:00:56,獅子,國立東華大學 National Dong Hwa University (NDHU),碩士,材料與科學學系,我還在就讀！,我是台灣人啊 🇹🇼！,22,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,2,UNIQLO,4,3,3,5,有,因為曾經的地溝油事件,4,5,5,5,2,沒有,還不錯，剛有起步,股市基金。年化回報 5-15%,3,4,2,2,2,4,4,3,"助手, 幫手, 夥伴, 朋友, 教練, 老師, 導師",,4,面對面對話最直接,4,5,4,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3,3,林超英,4,5,機車,0,沒有,3,"買東西先了解我吃的動物性食品，動物的生活環境, 用社交網絡認識其他環保的同學, 投資前查看公司的環保認證和生態評分, 跟我的AI幫手討論環保問題, 如何讓我支持的公司更環保",False,False,False,False,True,False,False,False,True,True,True,True,False,False,,每月49台幣,3,3,3,4,網爆,動畫欣賞社,戰爭,戰爭引發的人性,ESTJ
ZdYZz5,2023-10-20 06:12:55,熊,國立臺灣大學 National Taiwan University (NTU),學士,生物環境系統工程學系,我還在就讀！,我是台灣人啊 🇹🇼！,18,3,價格：300 台幣 / 公斤。強迫勞工的概率：15%,2,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,4,4,3,有,4,5,2,2,沒有,,4,4,3,4,3,有,外幣定存,政府債券。年化回報 2-3%,2,2,4,4,4,5,4,4,"老師, 導師, 幫手, 助手, 朋友, 夥伴, 教練",,1,直接回答我的問題,4,4,3,4,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",4,2,科系的必修,4,1,"走路, 腳踏車, 捷運",0,沒有,4,買東西先查看產品的運輸距離（是不是當地食品）,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,如果免費的話我會用它,4,4,4,5,環保餐具,桌遊,期中考沒有過,,ISFJ
ylverx,2023-10-20 06:17:42,熊🐻,國立東華大學 National Dong Hwa University (NDHU),學士,民族事務與發展學系,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1,1,4,無,4,3,3,2,沒有,,4,4,2,2,3,沒有,沒有投資經驗,房地產投資信託。年化回報 2-7%,3,3,3,3,3,3,4,4,"助手, 幫手, 導師, 老師, 教練, 夥伴, 朋友",,4,你問我答,3,3,2,2,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",3,2,學校 媒體,3,3,"腳踏車, 走路",0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看公司的環保認證和生態評分",True,False,False,False,False,True,False,False,False,True,False,True,False,False,,如果免費的話我會用它,3,2,3,3,透過網路 寫信..等等,合唱,,,ENFP
24vDpg,2023-10-20 06:26:04,北極熊,國立成功大學 National Cheng Kung University (NCKU),學士,歷史系,我還在就讀！,我是台灣人啊 🇹🇼！,18,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,2,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,3,3,2,福樂(牛奶),3,2,2,1,有,賣地溝油,4,3,4,4,2,有,股票,股市基金。年化回報 5-15%,2,4,3,3,2,4,2,2,"助手, 幫手, 老師, 教練, 夥伴, 導師, 朋友",,4,問答,4,4,4,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",2,3,父母,4,3,"腳踏車, 走路",0,沒有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看AI摘要的消費者對公司環保的評論, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,False,False,True,False,True,True,False,False,False,False,False,False,False,,如果免費的話我會用它,4,2,3,2,拒絕購買不環保的產品,,,,
DVDZlE,2023-10-20 06:31:31,貓咪,國立東華大學 National Dong Hwa University (NDHU),碩士,台灣文學系,我還在就讀！,我是台灣人啊 🇹🇼！,23,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,4,1,4,聖德柯思,4,5,5,5,有,用地溝油,5,3,5,5,4,有,有賺有虧,股市基金。年化回報 5-15%,3,3,4,3,5,5,3,3,"幫手, 助手, 教練, 夥伴, 導師, 朋友, 老師",,3,請他幫我想文案,4,5,5,5,"熱帶雨林, 珊瑚礁, 草原, 沙漠, 濕地",3,5,對肉類反胃,5,5,"走路, 機車",1,有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分",True,True,False,False,False,False,False,True,False,True,False,True,False,False,,每月49台幣,5,5,4,4,從提案做起,部落青年、秋野芒,沒有工作,老師,ISFJ
AlD9Oy,2023-10-20 07:04:40,🦊,國立東華大學 National Dong Hwa University (NDHU),學士,藝創系,我還在就讀！,我是台灣人啊 🇹🇼！,21,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,3,3,5,無,5,3,1,1,有,親中,5,4,4,4,3,有,有,股市基金。年化回報 5-15%,1,3,4,5,5,1,1,3,"幫手, 助手, 導師, 老師, 教練, 夥伴, 朋友",協助者,5,目前沒有想法,4,4,4,3,"珊瑚礁, 濕地, 草原, 熱帶雨林, 沙漠",3,3,學校,4,3,機車,10,沒有,2,"買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 如何讓我支持的公司更環保",False,True,True,False,False,True,False,True,False,True,True,True,False,True,,如果免費的話我會用它,3,3,5,4,專題研究,熱音,,,INFJ
7dvPRL,2023-10-20 07:05:54,兔子,國立東華大學 National Dong Hwa University (NDHU),學士,藝設,我還在就讀！,我是台灣人啊 🇹🇼！,20,1,價格：300 台幣 / 公斤。強迫勞工的概率：15%,2,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,3,1,5,有,5,4,4,1,沒有,,1,5,2,2,1,沒有,無,ESG環保投資基金。年化回報 2-7%,5,4,5,5,2,5,2,1,"幫手, 助手, 朋友, 夥伴, 導師, 老師, 教練",,3,無感情的,5,4,3,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",3,3,💰,4,3,"腳踏車, 走路",4,沒有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 老實說我對任何環保資訊都沒有太多興趣",False,False,False,False,False,True,False,False,False,False,False,False,True,False,,如果免費的話我會用它,4,3,4,5,新的意見和觀點,,世界大戰,,INFP
ylvzAB,2023-10-20 07:08:04,狗,國立東華大學 National Dong Hwa University (NDHU),學士,藝術創意產業學系,我還在就讀！,我是台灣人啊 🇹🇼！,21,1,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2,2,3,無,5,3,3,2,沒有,,3,4,3,2,2,沒有,無,加密貨幣。高度變動性，每年最高可達 50% 或更多,4,3,3,2,2,3,2,2,"助手, 幫手, 夥伴, 朋友, 老師, 導師, 教練",,4,自在無壓力,4,4,4,2,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",2,3,環境跟動植物,4,4,腳踏車,0,沒有,4,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先尋找有機產品, 跟我的AI幫手討論環保問題, 用社交網絡認識其他環保的同學, 投資前比較公司的環保表現, 投資前查看公司的環保認證和生態評分, 投資前查看AI摘要的消費者對公司環保的評論, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,True,False,True,True,True,False,True,True,True,False,False,False,True,,如果免費的話我會用它,4,3,5,4,實際行動,街舞社,擔心戰爭、環境污染、沒錢、健康,沒有,INFP
XeYNJV,2023-10-20 07:08:36,奇異鳥,國立東華大學 National Dong Hwa University (NDHU),學士,華文文學系,我還在就讀！,我是台灣人啊 🇹🇼！,18,1,價格：700 台幣 / 公斤。強迫勞工的概率：2%,5,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：72 台幣,1,1,4,主婦聯盟,3,3,4,1,沒有,,5,2,2,2,3,沒有,無,政府債券。年化回報 2-3%,4,3,3,3,5,3,1,1,"助手, 幫手, 夥伴, 老師, 教練, 朋友, 導師",,4,無經驗,5,5,4,3,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4,4,教育,4,4,腳踏車,0,沒有,3,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 如何讓我支持的公司更環保, 跟我的AI幫手討論環保問題",True,True,True,True,False,True,False,True,True,True,True,True,False,True,,如果免費的話我會用它,4,3,5,5,輿論、遊行、社會運動為主,,,,
kYWrOR,2023-10-20 07:13:38,狗狗,國立東華大學 National Dong Hwa University (NDHU),碩士,臨床心理,我還在就讀！,我是台灣人啊 🇹🇼！,26,1,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,3,2,3,沒有特別,3,3,4,1,有,,4,4,4,4,2,沒有,只有保單跟存款,ESG環保投資基金。年化回報 2-7%,4,4,2,4,4,4,2,2,"教練, 導師, 老師, 助手, 幫手, 夥伴, 朋友",,4,問答的模式,4,4,4,2,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",4,4,方便性,4,3,機車,2,沒有,3,"買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看AI摘要的消費者對公司環保的評論, 投資前比較公司的環保表現",False,False,False,True,False,True,False,False,False,False,False,False,False,True,,如果免費的話我會用它,4,4,4,4,消費,,,,INFJ
XeYNgd,2023-10-20 07:14:43,薩摩耶,國立東華大學 National Dong Hwa University (NDHU),學士,社會系,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：300 台幣 / 公斤。強迫勞工的概率：15%,5,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1,1,4,沒,3,1,3,1,沒有,,3,5,4,2,1,沒有,0,股市基金。年化回報 5-15%,4,3,3,3,3,3,1,2,"助手, 朋友, 導師, 老師, 幫手, 教練, 夥伴",,2,一半溝通,4,5,5,2,"珊瑚礁, 熱帶雨林, 沙漠, 濕地, 草原",4,5,零,5,5,腳踏車,2,有,4,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先尋找有機產品, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司工人的員工福利多好, 投資前查看AI摘要的消費者對公司環保的評論, 老實說我對任何環保資訊都沒有太多興趣, 投資前查看公司的環保認證和生態評分, 如何讓我支持的公司更環保, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 用社交網絡認識其他環保的同學, 投資前比較公司的環保表現, 跟我的AI幫手討論環保問題",True,True,True,True,True,True,True,True,True,True,True,True,True,True,,如果免費的話我會用它,4,5,5,5,給意見,,,,
eB2oPE,2023-10-20 07:17:19,狗,國立東華大學 National Dong Hwa University (NDHU),學士,社會系,我還在就讀！,我是台灣人啊 🇹🇼！,19,2,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,3,1,3,無,4,3,4,1,有,食安問題,3,5,4,3,2,沒有,無,ESG環保投資基金。年化回報 2-7%,3,2,2,1,4,3,3,4,"幫手, 助手, 老師, 教練, 導師, 夥伴, 朋友",,4,打字,5,5,4,3,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",4,2,家庭,4,3,機車,0,沒有,3,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境",False,True,False,False,False,True,False,False,False,False,False,True,False,False,,如果免費的話我會用它,3,3,4,4,改變消費習慣,無,氣溫變化,,ENFP
eB2oyq,2023-10-20 07:21:40,狗,玉山神學院	Yu-Shan Theological College and Seminary,學士,基督教人文學系,我還在就讀！,我是台灣人啊 🇹🇼！,24,3,價格：700 台幣 / 公斤。強迫勞工的概率：2%,5,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,5,1,3,無,4,2,5,1,沒有,,3,5,3,3,3,沒有,無,加密貨幣。高度變動性，每年最高可達 50% 或更多,3,3,3,3,3,3,1,2,"朋友, 老師, 夥伴, 助手, 幫手, 教練, 導師",社工,3,朋友關係,5,5,5,3,"草原, 珊瑚礁, 熱帶雨林, 濕地, 沙漠",4,3,生活環境,5,5,"走路, 摩托車, 汽車",1,沒有,3,"如何讓我支持的公司更環保, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解我吃的動物性食品，動物的生活環境, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司工人的員工福利多好, 買東西先尋找有機產品, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 跟我的AI幫手討論環保問題, 老實說我對任何環保資訊都沒有太多興趣",True,True,True,True,False,True,True,True,True,True,True,True,True,True,無,如果免費的話我會用它,3,3,4,5,行為,,空氣污染,,
