Submission ID,Respondent ID,Submitted at,Untitled checkboxes field,Untitled checkboxes field (我同意我的回答做為研究和設計使用),選擇一種動物來代表你/妳自己（什麼都可以）：,你/妳在哪所大學念書？,如果你/妳的學校未列出，請在此處寫下：,你/妳的學習階段：,你/妳的學習科系：,你/妳現在的學歷狀態是什麼？,你/妳來自哪個國家？,你/妳是哪裡的？,你/妳幾歲？,如果你/妳懷疑你/妳要買的番茄可能是由強迫勞工（現代奴隸）採摘的，你/妳仍然會買它嗎？,你/妳會買哪一種番茄？,你/妳關心食安嗎？,你/妳會買哪種雞蛋？,你/妳買哪種牛奶？,你/妳7年內買車嗎？🚘,你/妳7年內買房嗎？🏡,你/妳購物時知道產品環保嗎？,你/妳有信任的品牌嗎？,你/妳覺得認證環保的公司更好嗎？,你/妳支持肉稅嗎？,你/妳關心食用雞的生活嗎？,你/妳避免吃肉嗎？,你/妳有沒有抵制過某公司？,為什麼抵制？,你/妳覺得你/妳花錢會影響環境嗎？,你/妳會對金錢感到焦慮嗎？,你/妳會對金錢很節儉嗎？,你/妳會經常存錢嗎？,你/妳對自己的財務知識滿意嗎？,你/妳覺得目前有任何投資嗎？,你/妳有投資經驗如何？,你/妳選哪個投資？,你/妳投資會考慮環保嗎？,你/妳覺得台灣的經濟目標是增長嗎？,你/妳覺台灣的得環境退化是台灣的經濟增長的前提嗎？,你/妳覺得台灣的經濟增長有助於保護環境嗎？,你/妳覺得經濟能不排CO2也增長嗎？,你/妳覺得經濟增長有物質限制嗎？,你/妳會每天都用AI嗎？,你/妳會信任AI嗎？,你/妳想要AI扮什麼角色？,其他,你/妳想要AI有個造型嗎？,你/妳喜歡如何與AI溝通？,你/妳喜歡待在大自然嗎？,你/妳擔心氣候變化嗎？,你/妳對環境污染情況會感到焦慮嗎？,你/妳知道許多植物和動物的名字嗎？,你/妳覺得如何依照生態系對環境惡化的敏感度來排名？,你/妳感覺自己和大自然很接近嗎？,你/妳努力實踐低碳生活嗎？,誰或什麼對你/妳環保態度影響最大的？,你/妳想做更多環保事嗎？,你/妳對環境相關政治議題有興趣嗎？,你/妳怎去學校？,你/妳今年（2025年）搭飛機幾次？✈️,* 例如搭飛機會產生碳排放，可以購買碳抵消來種樹,你/妳信任碳排放抵消額度嗎？,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些?,想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看產品的運輸距離（是不是當地食品）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司生產過程多環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先查看公司工人的員工福利多好),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看AI摘要的消費者對公司環保的評論),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (用社交網絡認識其他環保的同學),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解哪些產品污染最嚴重，以便避免它們),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (每個月查看我自己的環保分數報告（了解我用錢的方式多環保）),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先尋找有機產品),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (跟我的AI幫手討論環保問題),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前查看公司的環保認證和生態評分),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (如何讓我支持的公司更環保),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (買東西先了解我吃的動物性食品，動物的生活環境),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (老實說我對任何環保資訊都沒有太多興趣),想像一下AI陪伴能幫你/妳回答超多問題了。你/妳比較想知道的環保資訊是哪些? (投資前比較公司的環保表現),其他選項,每月你/妳願意支付多少錢讓AI陪伴你/妳做更環保的財務決策？,你/妳的環保行動對環境保護有效果嗎？,你/妳想在行業內推環保嗎？,你/妳得自己對新觀念開放嗎？,你/妳的大學對可環保性支持嗎？,你/妳覺得大學生如何影響公司的可持續行為？,你/妳有加入過什麼學生社團嗎？（選填）,你/妳最擔心什麼？（任何問題都可以，選填）,啟發你/妳的是？（什麼都可以，選填）,你/妳的MBTI？（選填）,有意見（選填）？
blxPlE,8ZJl1k,2023-10-17 04:58:27,我同意我的回答做為研究和設計使用,True,兔子,國立高雄科技大學 National Kaohsiung University of Science and Technology (NKUST),,學士,电子咨讯,我還在就讀！,其他的國家（選擇）,马来西亚,21.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,,3.0,3.0,5.0,没有,5.0,4.0,2.0,,沒有,,4.0,4.0,4.0,,2.0,沒有,没有经验,股市基金。年化回報 5-15%,3.0,4.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kY6Mgo,kN0PL1,2023-10-17 05:00:11,我同意我的回答做為研究和設計使用,True,花豹,國立成功大學 National Cheng Kung University (NCKU),,學士,測量及空間資訊,我還在就讀！,我是台灣人啊 🇹🇼！,,21.0,1.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,2.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,5.0,1.0,2.0,拾汣茶屋,4.0,1.0,2.0,1.0,沒有,,4.0,5.0,2.0,1.0,1.0,沒有,沒有,股市基金。年化回報 5-15%,1.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,"老師, 導師, 助手, 幫手, 教練, 夥伴, 朋友",,4.0,從他那裡獲取知識,4.0,5.0,5.0,2.0,"熱帶雨林, 珊瑚礁, 草原, 濕地, 沙漠",2.0,3.0,電費,3.0,2.0,摩托車,0.0,沒有,1.0,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先查看公司工人的員工福利多好, 老實說我對任何環保資訊都沒有太多興趣",False,True,True,False,False,True,False,False,False,False,False,False,True,False,,如果免費的話我會用它,4.0,4.0,4.0,4.0,不清楚,,,,,
KMldN8,pD02lb,2023-10-17 05:00:39,我同意我的回答做為研究和設計使用,True,鳥,國立成功大學 National Cheng Kung University (NCKU),,博士,都市計劃學系,我還在就讀！,我是台灣人啊 🇹🇼！,,29.0,3.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2.0,4.0,2.0,無,4.0,2.0,3.0,2.0,有,公司壓榨酪農,3.0,5.0,4.0,4.0,2.0,沒有,無,ESG環保投資基金。年化回報 2-7%,4.0,4.0,5.0,1.0,4.0,5.0,2.0,4.0,"助手, 幫手, 夥伴, 朋友, 教練, 老師, 導師",1助手2幫手,3.0,問問題,5.0,4.0,4.0,5.0,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",2.0,3.0,自然環境劇烈變化,4.0,4.0,"機車, 腳踏車",1.0,沒有,3.0,"買東西先了解哪些產品污染最嚴重，以便避免它們, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 買東西先尋找有機產品, 買東西先查看公司生產過程多環保, 如何讓我支持的公司更環保, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 買東西先查看公司工人的員工福利多好",False,True,True,False,False,True,True,True,False,True,True,False,False,True,,我不懂AI如何幫助我,4.0,4.0,3.0,4.0,用行動支持,,下一代無法享受現在的生活環境,AI的可能性,INFP,
LdWRPj,kN0Ppd,2023-10-17 05:01:54,我同意我的回答做為研究和設計使用,True,刺蝟,國立成功大學 National Cheng Kung University (NCKU),,學士,經濟,,我是台灣人啊 🇹🇼！,,21.0,2.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,,2.0,1.0,3.0,Nike,3.0,2.0,,1.0,,,,5.0,5.0,,,沒有,0,股市基金。年化回報 5-15%,3.0,5.0,4.0,2.0,,4.0,2.0,4.0,"助手, 幫手, 導師, 老師, 夥伴, 朋友, 教練",,5.0,AI提供我需要的幫助,,5.0,,4.0,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",4.0,3.0,海龜,3.0,3.0,,0.0,沒有,2.0,買東西先了解哪些產品污染最嚴重，以便避免它們,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,,3.0,4.0,4.0,消費,咖啡社,,,,
MAz9vg,AB6g40,2023-10-17 05:06:14,我同意我的回答做為研究和設計使用,True,河馬,國立成功大學 National Cheng Kung University (NCKU),,學士,經濟系,我還在就讀！,我是台灣人啊 🇹🇼！,,18.0,3.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2.0,1.0,3.0,沒有,3.0,3.0,3.0,1.0,,,5.0,4.0,2.0,5.0,3.0,,沒有投資,股市基金。年化回報 5-15%,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xdaOxv,ro0Zk5,2023-10-17 05:11:08,我同意我的回答做為研究和設計使用,True,無尾熊,國立成功大學 National Cheng Kung University (NCKU),,學士,政治系,我還在就讀！,我是台灣人啊 🇹🇼！,,19.0,2.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2.0,1.0,3.0,無,3.0,3.0,2.0,2.0,沒有,,2.0,4.0,2.0,2.0,2.0,沒有,無經驗,股市基金。年化回報 5-15%,2.0,4.0,,,,,,3.0,"助手, 幫手, 夥伴, 朋友, 教練, 老師, 導師",,4.0,打字,,,2.0,,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",2.0,2.0,媒體,3.0,3.0,"腳踏車, 摩托車",0.0,沒有,2.0,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 跟我的AI幫手討論環保問題, 投資前查看AI摘要的消費者對公司環保的評論",False,False,False,True,False,True,False,True,True,False,False,False,False,False,,每月99台幣,2.0,2.0,,3.0,,,,,,
Rz5714,RDZNlp,2023-10-17 05:21:34,我同意我的回答做為研究和設計使用,True,鴨嘴獸,國立成功大學 National Cheng Kung University (NCKU),,學士,資訊工程學系,我還在就讀！,我是台灣人啊 🇹🇼！,,19.0,3.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,4.0,4.0,3.0,無,4.0,2.0,3.0,2.0,沒有,,3.0,3.0,4.0,4.0,3.0,沒有,無,ESG環保投資基金。年化回報 2-7%,2.0,4.0,1.0,3.0,4.0,4.0,5.0,4.0,"助手, 老師, 幫手, 導師, 教練, 夥伴, 朋友",,2.0,問他我不知道的知識 把它當作另一種google,5.0,5.0,3.0,3.0,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4.0,3.0,父母,4.0,3.0,"腳踏車, 機車, 走路, 火車",0.0,沒有,4.0,"買東西先了解哪些產品污染最嚴重，以便避免它們, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,False,False,False,False,True,True,False,False,False,False,False,False,False,,如果免費的話我會用它,3.0,3.0,4.0,4.0,我覺得很難 除非投意見箱,社會服務隊,,,,
5d16Md,19bL7O,2023-10-17 05:35:44,我同意我的回答做為研究和設計使用,True,野兔,國立成功大學 National Cheng Kung University (NCKU),,碩士,半導體製程,我還在就讀！,我是台灣人啊 🇹🇼！,,24.0,4.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,4.0,1.0,4.0,Nike,4.0,3.0,2.0,1.0,有,食安問題（地溝油）,4.0,4.0,3.0,3.0,2.0,沒有,0,股市基金。年化回報 5-15%,2.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,"助手, 幫手, 導師, 老師, 教練, 夥伴, 朋友",,3.0,文字,5.0,5.0,4.0,5.0,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",4.0,2.0,有關氣候變遷的新聞,4.0,5.0,摩托車,0.0,沒有,3.0,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",False,True,False,False,False,True,True,False,False,False,False,False,False,False,,每月99台幣,3.0,4.0,5.0,5.0,透過自治活動公開支持或抵制,國標舞社,,,INFJ,
PA5KZd,4K1bvk,2023-10-17 05:45:07,我同意我的回答做為研究和設計使用,True,貓咪,國立成功大學 National Cheng Kung University (NCKU),,學士,心理系,我還在就讀！,我是台灣人啊 🇹🇼！,,21.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,2.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,4.0,3.0,4.0,光泉,4.0,3.0,1.0,1.0,沒有,,2.0,5.0,1.0,2.0,1.0,沒有,無,政府債券。年化回報 2-3%,2.0,3.0,1.0,2.0,4.0,4.0,2.0,4.0,"助手, 幫手, 老師, 夥伴, 導師, 朋友, 教練",,5.0,打字,5.0,5.0,4.0,3.0,"珊瑚礁, 草原, 熱帶雨林, 濕地, 沙漠",3.0,4.0,北極熊,5.0,4.0,"走路, 機車",6.0,沒有,2.0,"買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）, 用社交網絡認識其他環保的同學, 如何讓我支持的公司更環保, 跟我的AI幫手討論環保問題",False,True,False,False,True,True,True,True,True,False,True,False,False,False,,如果免費的話我會用它,3.0,4.0,4.0,3.0,？,,,,ISFP,
vNAj44,6Z1g0O,2023-10-17 05:46:35,我同意我的回答做為研究和設計使用,True,貓,國立成功大學 National Cheng Kung University (NCKU),,碩士,都市計劃,我已經畢業了啦！,我是台灣人啊 🇹🇼！,,27.0,3.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,2.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1.0,1.0,4.0,暫無,4.0,2.0,2.0,2.0,有,侵害台灣主權,5.0,3.0,3.0,4.0,2.0,沒有,無,政府債券。年化回報 2-3%,3.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,"助手, 幫手, 夥伴, 教練, 老師, 導師, 朋友",,1.0,下指令,4.0,4.0,3.0,2.0,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3.0,2.0,工作,2.0,1.0,摩托車,2.0,沒有,4.0,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看AI摘要的消費者對公司環保的評論, 投資前查看公司的環保認證和生態評分, 投資前比較公司的環保表現, 如何讓我支持的公司更環保",False,False,False,True,False,True,False,True,False,True,True,False,False,True,,如果免費的話我會用它,2.0,2.0,4.0,4.0,從自身做起,,,,INFJ,
MAb1KE,qRYyr2,2023-10-17 06:19:25,我同意我的回答做為研究和設計使用,True,小兔子,國立成功大學 National Cheng Kung University (NCKU),,學士,經濟,我還在就讀！,其他的國家（選擇）,阿根廷,20.0,1.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,2.0,1.0,3.0,台積電,5.0,2.0,3.0,3.0,沒有,,4.0,4.0,5.0,4.0,2.0,沒有,沒,政府債券。年化回報 2-3%,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,"朋友, 教練, 導師, 老師, 助手, 幫手, 夥伴",,2.0,給指令,5.0,5.0,5.0,5.0,"熱帶雨林, 沙漠, 草原, 珊瑚礁, 濕地",5.0,5.0,媽媽,5.0,5.0,腳踏車,2.0,有,5.0,"投資前查看公司的環保認證和生態評分, 買東西先了解我吃的動物性食品，動物的生活環境, 老實說我對任何環保資訊都沒有太多興趣, 買東西先尋找有機產品, 買東西先查看公司生產過程多環保, 買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,True,True,False,False,True,False,True,False,True,False,True,True,False,,每月49台幣,5.0,5.0,5.0,5.0,不知道欸..,沒,,,ISTJ,
vNAP2D,AB6oqN,2023-10-17 08:07:44,我同意我的回答做為研究和設計使用,True,鸚鵡,國立嘉義大學 National Chiayi University (NCYU),,學士,生管系,我已經畢業了啦！,我是台灣人啊 🇹🇼！,,29.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,4.0,2.0,4.0,沒有,4.0,4.0,4.0,3.0,有,林鳳營,4.0,4.0,3.0,3.0,3.0,有,定存,ESG環保投資基金。年化回報 2-7%,4.0,4.0,1.0,3.0,4.0,2.0,4.0,2.0,"夥伴, 朋友, 助手, 幫手, 導師, 教練, 老師",,1.0,寫日記,5.0,4.0,4.0,4.0,"珊瑚礁, 熱帶雨林, 濕地, 沙漠, 草原",4.0,3.0,oregon way of living,4.0,4.0,腳踏車,2.0,有,4.0,"買東西先查看公司工人的員工福利多好, 買東西先了解我吃的動物性食品，動物的生活環境",False,False,True,False,False,False,False,False,False,False,False,True,False,False,,每月49台幣,4.0,4.0,4.0,3.0,消費,國樂社,,,INFP,加油 ! 
kYyKbJ,KV81pg,2023-10-17 11:24:39,我同意我的回答做為研究和設計使用,True,狼,國立成功大學 National Cheng Kung University (NCKU),,學士,水利及海洋工程,,我是台灣人啊 🇹🇼！,,22.0,4.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,3.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,3.0,1.0,2.0,沒有,4.0,3.0,2.0,1.0,沒有,,4.0,4.0,,5.0,5.0,沒有,沒有，我家很窮,股市基金。年化回報 5-15%,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vNAEoD,o2lG1O,2023-10-17 11:43:04,我同意我的回答做為研究和設計使用,True,貓,國立成功大學 National Cheng Kung University (NCKU),,學士,工業設計,我還在就讀！,我是台灣人啊 🇹🇼！,,19.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：108 台幣,2.0,1.0,3.0,Muji ,4.0,3.0,3.0,1.0,沒有,,4.0,5.0,3.0,3.0,2.0,有,選擇穩定的投資，避免風險獲益過高的項目,股市基金。年化回報 5-15%,4.0,3.0,4.0,5.0,2.0,5.0,4.0,3.0,"朋友, 幫手, 助手, 夥伴, 導師, 老師, 教練",,5.0,分享心情，提供建議，像是跟朋友聊天，但不用擔心秘密被知道,4.0,5.0,4.0,2.0,"熱帶雨林, 草原, 珊瑚礁, 濕地, 沙漠",3.0,3.0,支持的明星或身邊的朋友,4.0,3.0,"腳踏車, 公車, 走路",1.0,沒有,3.0,"買東西先查看公司生產過程多環保, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論, 投資前比較公司的環保表現",False,True,True,True,False,True,False,False,False,False,False,True,False,True,,如果免費的話我會用它,3.0,3.0,4.0,4.0,提供創新的環保意識，同時具有獲利潛力的想法,,,,,
GrzqRj,Pz8Oq5,2023-10-17 11:48:44,我同意我的回答做為研究和設計使用,True,馬,國立高雄科技大學 National Kaohsiung University of Science and Technology (NKUST),,學士,工業設計系,我已經畢業了啦！,我是台灣人啊 🇹🇼！,,27.0,3.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,5.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：85 台幣,1.0,1.0,3.0,目前沒有,3.0,2.0,3.0,3.0,有,食品衛生不合格,3.0,3.0,3.0,3.0,2.0,沒有,目前沒有,ESG環保投資基金。年化回報 2-7%,4.0,1.0,2.0,3.0,3.0,5.0,2.0,3.0,"助手, 幫手, 朋友, 夥伴, 老師, 導師, 教練",,3.0,一個指令一個動作即可。太厲害的反應會擔心哪一天被反撲取代,5.0,4.0,5.0,3.0,"珊瑚礁, 熱帶雨林, 草原, 濕地, 沙漠",4.0,3.0,空氣,4.0,4.0,公車,1.0,沒有,2.0,"買東西先了解我吃的動物性食品，動物的生活環境, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們",False,True,False,False,False,True,False,False,False,False,False,True,False,False,,如果免費的話我會用它,3.0,3.0,4.0,3.0,身體力行,沒有,未來AI取代的危機感,大自然,不知道,
PA6GYd,ABWLaN,2023-10-17 12:03:03,我同意我的回答做為研究和設計使用,True,水熊蟲,長榮大學 Chang Jung Christian University (CJCU),,學士,資管,我已經畢業了啦！,我是台灣人啊 🇹🇼！,,26.0,3.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4.0,價格：102 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,1.0,1.0,1.0,Shimano ,3.0,1.0,1.0,1.0,沒有,,1.0,3.0,2.0,3.0,1.0,沒有,沒有,股市基金。年化回報 5-15%,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,"老師, 助手, 幫手, 導師, 教練, 夥伴, 朋友",,4.0,查資料,5.0,5.0,5.0,5.0,"熱帶雨林, 珊瑚礁, 濕地, 草原, 沙漠",5.0,1.0,冰霸杯,2.0,1.0,摩托車,0.0,沒有,1.0,"買東西先尋找有機產品, 老實說我對任何環保資訊都沒有太多興趣",False,False,False,False,False,False,False,True,False,False,False,False,True,False,,每月199台幣,1.0,1.0,5.0,3.0,不知道,熱音社,,,,
MAbGep,o2lAvO,2023-10-17 12:51:27,我同意我的回答做為研究和設計使用,True,Fox,國立成功大學 National Cheng Kung University (NCKU),,學士,航空太空工程學系,我已經畢業了啦！,我是台灣人啊 🇹🇼！,,23.0,2.0,價格：500 台幣 / 公斤。強迫勞工的概率：5%,4.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：85 台幣,2.0,2.0,3.0,有,4.0,2.0,3.0,1.0,有,食安問題，不顧消費者健康,4.0,5.0,4.0,4.0,3.0,有,4年股票投資經驗,股市基金。年化回報 5-15%,1.0,4.0,1.0,3.0,4.0,2.0,4.0,3.0,"助手, 幫手, 教練, 老師, 導師, 夥伴, 朋友",,2.0,詢問問題並得到回答,5.0,3.0,4.0,4.0,"珊瑚礁, 濕地, 熱帶雨林, 草原, 沙漠",3.0,1.0,動植物棲息地被破壞,3.0,4.0,"腳踏車, 機車, 走路",5.0,沒有,2.0,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司工人的員工福利多好, 買東西先了解哪些產品污染最嚴重，以便避免它們",True,False,True,False,False,True,False,False,False,False,False,False,False,False,,如果免費的話我會用它,2.0,1.0,5.0,4.0,在活動或計畫中積極連結SDGs,太空推進研究社、合唱團,太空垃圾、乾淨能源、能源儲存,,INFP,
yl678W,Ex81qB,2023-10-17 13:01:59,我同意我的回答做為研究和設計使用,True,狐狸,長庚大學 Chang Gung University (CGU),,學士,工業設計,我已經畢業了啦！,我是台灣人啊 🇹🇼！,,22.0,2.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,3.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,4.0,2.0,3.0,有,4.0,4.0,2.0,4.0,有,他的商品讓我很不滿意,4.0,5.0,4.0,4.0,3.0,沒有,有,股市基金。年化回報 5-15%,2.0,3.0,4.0,4.0,1.0,3.0,2.0,4.0,"朋友, 夥伴, 助手, 導師, 幫手, 老師, 教練",,4.0,想跟朋友聊天一樣,4.0,3.0,4.0,2.0,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",2.0,3.0,四季的變化,4.0,4.0,"客運, 火車, 公車, 摩托車, 走路, 腳踏車, 捷運",0.0,沒有,1.0,"買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分, 跟我的AI幫手討論環保問題",False,False,False,False,False,False,False,True,True,True,False,False,False,False,討論人們為什麼想要環保?環保對於環境的效益為何?如何看見成效?如果不環保又會比現在糟多少?,如果免費的話我會用它,3.0,3.0,4.0,4.0,在決策上或多或少能做出些影響,"散打,狗醫生,攝影",傳統人類文化的淡薄,社會觀察,ENFP,
Rz57vp,yJ0QoB,2023-10-17 13:02:16,我同意我的回答做為研究和設計使用,True,猴子,國立成功大學 National Cheng Kung University (NCKU),,學士,經濟系,我還在就讀！,我是台灣人啊 🇹🇼！,,18.0,3.0,價格：300 台幣 / 公斤。強迫勞工的概率：15%,4.0,價格：66 台幣，一盒十顆雞蛋售價 / 無養雞資訊,價格：72 台幣,1.0,1.0,3.0,沒有,4.0,2.0,3.0,1.0,沒有,,5.0,5.0,1.0,4.0,5.0,沒有,無,ESG環保投資基金。年化回報 2-7%,4.0,4.0,4.0,3.0,2.0,3.0,3.0,2.0,"幫手, 助手, 朋友, 導師, 老師, 教練, 夥伴",,2.0,文字,5.0,2.0,3.0,4.0,"珊瑚礁, 熱帶雨林, 沙漠, 濕地, 草原",2.0,2.0,價格,3.0,4.0,腳踏車,0.0,沒有,2.0,"買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先了解我吃的動物性食品，動物的生活環境, 投資前查看AI摘要的消費者對公司環保的評論",False,False,False,True,False,True,False,False,False,False,False,True,False,False,,如果免費的話我會用它,3.0,3.0,3.0,3.0,無,,,,INFJ,
kYypWM,g9W4dJ,2023-10-17 13:21:10,我同意我的回答做為研究和設計使用,True,貓,國立成功大學 National Cheng Kung University (NCKU),,學士,航空太空工程學系,我已經畢業了啦！,我是台灣人啊 🇹🇼！,,23.0,1.0,價格：700 台幣 / 公斤。強迫勞工的概率：2%,5.0,價格：160 台幣，一盒十顆雞蛋售價 / 無籠養雞,價格：108 台幣,1.0,3.0,4.0,有，我信任大部分知名品牌。,5.0,4.0,5.0,3.0,有,可以隱藏某些不利資訊，如食品衛生或安全。,3.0,3.0,4.0,4.0,3.0,有,三年投資經驗,股市基金。年化回報 5-15%,4.0,5.0,2.0,4.0,5.0,2.0,2.0,2.0,"幫手, 助手, 老師, 導師, 教練, 朋友, 夥伴",,3.0,在電腦上輸入指令，等待AI輸出。,5.0,5.0,5.0,4.0,"珊瑚礁, 熱帶雨林, 濕地, 草原, 沙漠",3.0,5.0,對地球的責任感。,5.0,5.0,"走路, 腳踏車, 火車",0.0,有,4.0,"買東西先查看產品的運輸距離（是不是當地食品）, 買東西先查看公司生產過程多環保, 買東西先了解哪些產品污染最嚴重，以便避免它們, 買東西先尋找有機產品, 投資前查看公司的環保認證和生態評分, 每個月查看我自己的環保分數報告（了解我用錢的方式多環保）",True,True,False,False,False,True,True,True,False,True,False,False,False,False,,每月99台幣,4.0,4.0,5.0,4.0,支持致力於永續環保的企業，抵制不具環保意識的公司。,,,,,
