Rank 2022,Company,CKPG,Country,HQ,Purchasing Power Parity Revenue,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,VOC Productivity Score,NOx Productivity,NOx Productivity Score,SOx Productivity,SOx Productivity Score,PM Productivity,PM Productivity Score,Cash Taxes Paid Ratio,Cash Taxes Paid Score,Clean Revenue Ratio,Clean Revenue Score,Clean Investment Ratio,Clean Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement Contributions / FTE,Fair Value of Plan Assets / FTE,Fair Value / Projected Benefit Obligation,Pension Fund Quality,Injury Rate Ratio,Injury Rate Score,Fatalities Per Employee Ratio,Fatalities Per Employee Score,Employee Turnover Ratio,Employee Turnover Score,Non-male Boards Ratio,Non-male Boards Score,Non-male Executives Ratio,Non-male Executives Score,Racially Diverse Among Boards Ratio,Racially Diverse Among Boards Score,Racially Diverse Among Executives Ratio,Racially Diverse Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Supplier Score,Fines Deduction,Overall Score
14,McCormick & Company Inc,Food and beverage manufacturing,United States,Hunt Valley,"$5,601,300,000.00","$4,287.40",78%,"$46,959.26",79%,"$2,497.24",74%,"$241,883.66",34%,"$430,869,230.80",58%,"$207,455,555.60",70%,NULL,NULL,"$2,800,650,000.00",78%,15%,54%,51%,86%,3%,57%,NULL,NULL,$915.38,"$81,300.00",79%,41%,0.29,82%,0,1,12%,58%,36%,83%,20%,77%,36%,96%,0%,0%,1,1,0.662119,0.01,B+
15,Schnitzer Steel Industries Inc,Smelters and steel making,United States,Portland,"$2,758,551,000.00",$946.84,56%,"$16,278.38",85%,"$2,144.95",83%,"$55,869.39",46%,"$26,524,528.85",36%,"$2,355,722.46",44%,"$35,825,337.66",78%,"$33,235,554.22",57%,4%,14%,74%,67%,84%,82%,77,36%,"$3,298.15","$7,915.57",104%,67%,0.76,52%,0,1,53%,6%,50%,99%,14%,69%,13%,73%,14%,79%,1,1,NULL,0.025,B+
16,Transcontinental Inc,Plastic and rubber product manufacturing,Canada,Montreal,"$2,161,209,068.00","$1,065.51",59%,"$11,262.34",64%,"$1,715.48",58%,"$262,920.81",41%,"$2,524,776.95",31%,"$6,105,110.36",20%,"$3,602,015,113.00",84%,"$432,241,813.60",100%,15%,60%,62%,100%,48%,100%,81,33%,"$1,647.55","$78,554.11",78%,73%,1.88,52%,0,1,7%,57%,36%,80%,30%,88%,0%,0%,0%,0%,1,1,NULL,0.01,B+
17,Stantec Inc,Personal and business services,Canada,Edmonton,"$3,093,618,808.00","$6,430.61",37%,"$90,256.12",41%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11%,32%,59%,69%,66%,79%,38,62%,"$3,172.87","$23,014.32",80%,62%,0.07,84%,0,1,15%,48%,38%,86%,38%,95%,0%,0%,25%,91%,1,1,0.643496,NULL,B+
18,Cascades Inc,Packaging,Canada,Kingsey Falls,"$4,329,974,811.00",$227.09,37%,"$4,675.52",49%,$217.54,58%,"$35,822.81",56%,"$2,980,023.96",47%,"$7,265,058.41",56%,"$11,546,599.50",53%,"$88,366,832.88",72%,3%,11%,77%,100%,5%,25%,52,50%,"$3,883.27","$41,787.36",75%,60%,1.3,36%,0,1,23%,17%,50%,99%,8%,61%,0%,0%,0%,0%,1,1,0.653197,0.01,B+
19,Evoqua Water Technologies Corp,Machinery manufacturing,United States,Pittsburgh,"$1,429,456,000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3%,3%,100%,100%,100%,78%,336,5%,$380.10,"$6,848.26",58%,10%,0.3,60%,0,1,0%,NULL,20%,50%,0%,0%,20%,84%,13%,76%,0,1,NULL,NULL,B+
20,Beijing Enterprises Water Group Ltd,Water and sewage treatment,Hong Kong SAR,Wan Chai,"$4,180,086,863.00",$709.59,29%,"$3,916.14",31%,$63.50,66%,NULL,NULL,NULL,NULL,"$21,546,839.50",77%,"$199,051,755.40",66%,NULL,NULL,8%,52%,100%,100%,100%,100%,NULL,NULL,"$2,367.20",NULL,NULL,41%,0,100%,0.000053,0,10%,42%,7%,32%,10%,63%,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,B+
21,Banco do Brasil SA,Banks,Brazil,Brasília,"$51,793,998,307.00","$225,008.36",88%,"$856,088.39",69%,"$54,194.83",59%,"$37,855,575.43",66%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26%,86%,17%,95%,NULL,NULL,12,93%,"$8,271.45","$964,784.80",45%,76%,0.2,59%,0.00001,0.090909091,2%,95%,38%,86%,11%,65%,13%,73%,3%,59%,1,1,0.638234,NULL,B+
22,Sekisui Chemical Co Ltd,Residential construction,Japan,Osaka,"$10,419,312,848.00","$1,164.20",5%,"$14,338.44",4%,$523.97,1%,"$1,809,222.58",66%,"$9,627,276.79",38%,"$74,578,146.50",18%,"$2,870,334,118.00",23%,"$718,573,299.80",9%,16%,20%,54%,100%,23%,100%,4,99%,"$17,469.38","$314,874.62",1%,83%,0.04,75%,0.000252,0.076923077,2%,96%,13%,40%,3%,59%,0%,0%,0%,0%,1,1,0.636812,NULL,B+
23,Engie Brasil Energia SA,Power generation,Brazil,Florianópolis,"$5,190,160,457.00",$87.63,33%,$884.40,45%,$11.30,39%,"$12,024.49",16%,NULL,NULL,"$327,769.04",18%,"$46,113.72",5%,"$1,741,664,583.00",98%,11%,75%,95%,92%,81%,64%,NULL,NULL,"$1,908.47","$427,588.31",33%,17%,NULL,NULL,0,1,13%,10%,22%,54%,14%,69%,0%,0%,0%,0%,1,1,0.660149,0.025,B+
24,Neste Oyj,"Refining, petrochemicals and basic organic chemicals",Finland,Espoo,"$17,079,941,860.00",$418.94,63%,"$6,787.10",77%,"$1,996.02",82%,"$238,623.33",34%,"$5,490,177.39",39%,"$13,354,137.50",79%,"$5,427,372.69",30%,"$210,863,479.80",68%,10%,43%,37%,100%,69%,88%,23,79%,"$13,232.67","$116,688.08",113%,89%,1.2,16%,0,1,7%,45%,38%,86%,31%,89%,0%,0%,0%,0%,1,1,NULL,NULL,B+
25,Iberdrola SA,Power generation,Spain,Bilbao,"$48,175,872,093.00",$112.26,33%,"$3,236.48",68%,$681.95,66%,"$178,788.06",35%,"$103,648,606.10",54%,"$770,604.35",32%,"$35,633,041.49",81%,"$37,933,757.55",49%,22%,98%,68%,76%,92%,80%,92,29%,"$14,528.98","$345,388.05",117%,82%,1.19,26%,0.000216,0.108433735,6%,60%,36%,80%,20%,77%,0%,0%,0%,0%,1,1,0.681699,0.05,B+
26,Xerox Holdings Corp,Computers and peripherals manufacturing,United States,Norwalk,"$7,022,000,000.00","$4,758.89",18%,"$72,053.03",34%,$7.13,3%,"$4,106,432.75",21%,"$1,107,570,978.00",35%,"$316,448,850.80",47%,"$36,957,894,737.00",68%,"$4,106,432,749.00",29%,6%,15%,76%,100%,2%,80%,1230,1%,"$1,983.81","$404,898.79",89%,54%,0.39,25%,0,1,23%,6%,33%,79%,43%,97%,22%,87%,21%,88%,1,1,0.619587,NULL,B
27,Salesforce.Com Inc,Personal and business services,United States,San Francisco,"$21,252,000,000.00","$98,464.78",93%,"$72,532.42",28%,"$46,789.96",69%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5%,10%,100%,100%,100%,100%,NULL,NULL,"$2,243.58",NULL,NULL,46%,NULL,NULL,0,1,0%,NULL,27%,64%,31%,89%,9%,62%,13%,76%,1,0,NULL,NULL,B
28,Cisco Systems Inc,Telephones and telecom equip manufacturing,United States,San Jose,"$49,818,000,000.00","$32,484.35",86%,"$245,579.44",93%,"$15,651.27",58%,"$33,797,829.04",84%,NULL,NULL,"$223,399,103.10",21%,"$85,893,103,448.00",76%,NULL,NULL,20%,76%,54%,75%,,50%,121,19%,"$3,395.14",NULL,NULL,63%,NULL,NULL,0,1,11%,42%,36%,83%,60%,100%,18%,82%,40%,97%,1,1,0.618551,NULL,B
29,Alstom SA,Non-road transport equipment manufacturing,France,St Ouen,"$12,768,895,349.00","$10,037.40",76%,"$129,153.55",63%,"$16,518.62",65%,"$2,612,829.01",55%,"$92,528,227.17",58%,NULL,NULL,NULL,NULL,NULL,NULL,13%,51%,46%,100%,12%,100%,21,80%,"$1,472.23","$126,360.63",109%,36%,0.18,72%,0,1,10%,28%,38%,87%,14%,69%,0%,0%,0%,0%,1,1,NULL,NULL,B
31,Legrand SA,Industrial Conglomerates,France,Limoges,"$8,865,552,325.58","$7,044.87",80%,"$59,902.38",61%,"$12,701.36",87%,"$1,773,110.47",62%,"$70,924,418.60",52%,NULL,NULL,NULL,NULL,NULL,NULL,19%,69%,70%,89%,NULL,NULL,35,68%,$724.69,"$8,443.57",78%,24%,0.6,28%,0,1,15%,31%,46%,96%,33%,93%,0%,0%,0%,0%,1,1,0.605298,NULL,B
32,Eisai Co Ltd,Pharmaceutical & biotech,Japan,Tokyo,"$6,369,985,405.00","$2,951.17",41%,"$78,090.34",70%,"$1,872.42",23%,"$4,078,095.65",61%,"$227,499,478.70",53%,"$225,087,823.50",58%,"$749,410,047.60",38%,"$1,137,497,394.00",59%,11%,34%,39%,86%,31%,88%,9,95%,"$2,847.80","$89,625.35",1%,30%,NULL,NULL,0,1,8%,70%,9%,35%,13%,66%,9%,62%,18%,83%,1,1,0.601925,NULL,B
33,Ecolab Inc,Personal products (retail chemical),United States,Saint Paul,"$11,790,200,000.00","$2,287.40",41%,"$27,581.54",46%,"$1,797.85",39%,"$254,208.71",38%,"$1,043,380,531.00",64%,"$20,565,497.99",35%,"$4,735,020,080.00",83%,NULL,NULL,13%,21%,66%,100%,59%,100%,328,5%,"$4,198.27","$69,637.05",74%,67%,0.34,50%,0.000022,0.137931034,13%,37%,38%,87%,20%,77%,15%,76%,10%,71%,0,1,0.642659,0.05,B
34,Canadian Pacific Railway Ltd,"Freight transport, all modes",Canada,Calgary,"$6,473,551,637.00",$164.79,33%,"$2,135.78",23%,"$8,429.10",44%,"$824,551.22",60%,"$4,867,332.06",30%,"$190,118.99",44%,"$215,785,054.60",51%,"$9,519,928.88",17%,12%,58%,44%,75%,71%,100%,122,19%,"$2,754.04","$1,014,406.48",87%,65%,0.77,60%,0,1,12%,29%,45%,95%,9%,62%,9%,62%,18%,84%,1,1,0.603286,0.01,B
35,Novozymes A/S,Pharmaceutical & biotech,Denmark,Bagsvaerd,"$2,071,249,076.00",$649.50,10%,"$8,851.49",15%,$258.97,5%,"$258,906.13",25%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18%,70%,89%,100%,50%,100%,NULL,NULL,NULL,NULL,NULL,NULL,1.5,21%,0,1,13%,28%,27%,64%,50%,99%,NULL,NULL,13%,76%,1,1,NULL,NULL,B
36,Alphabet Inc,IT services except telecom and hosting,United States,Mountain View,"$183,000,000,000.00","$15,043.63",32%,"$30,916.92",3%,"$8,475.75",12%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13%,60%,88%,83%,NULL,NULL,NULL,NULL,"$6,319.24",NULL,NULL,68%,NULL,NULL,0,1,0%,NULL,27%,64%,20%,77%,36%,96%,40%,97%,1,1,NULL,0.05,B-
37,Verbund AG,Power transmission and distribution,Austria,Vienna,"$4,701,436,047.00",$382.85,25%,"$4,439.51",51%,$40.18,33%,NULL,NULL,NULL,NULL,"$16,496,266.83",70%,"$92,185,020.52",67%,"$427,403,277.00",53%,5%,37%,65%,100%,NULL,NULL,NULL,NULL,"$3,560.56","$76,625.18",29%,25%,5.6,9%,0,1,2%,96%,50%,99%,0%,0%,0%,0%,0%,0%,NULL,1,NULL,NULL,B-
38,Workday Inc,Personal and business services,United States,Pleasanton,"$4,317,996,000.00","$10,595.81",45%,"$104,589.95",34%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0%,1%,88%,81%,,14%,NULL,NULL,"$3,351.69",NULL,NULL,54%,NULL,NULL,0,1,9%,79%,25%,61%,35%,93%,42%,97%,24%,89%,1,0,NULL,NULL,B-
39,SunPower Corp,Semiconductor and electronic components manufacturing,United States,San Jose,"$1,124,829,000.00",NULL,NULL,"$127,966.89",64%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60%,100%,97%,78%,100%,100%,NULL,NULL,NULL,NULL,NULL,NULL,0.16,50%,NULL,NULL,NULL,NULL,18%,47%,25%,84%,0%,0%,25%,91%,NULL,1,NULL,NULL,B-
40,Metso Outotec Corp,Commercial building construction,Finland,Helsinki,"$4,824,127,907.00","$3,390.11",31%,"$43,464.14",31%,"$4,902.57",45%,"$330,351.84",49%,"$14,147,002.66",47%,NULL,NULL,NULL,NULL,NULL,NULL,27%,69%,37%,100%,22%,33%,36,67%,"$3,683.78","$15,018.50",85%,67%,0.31,55%,0,1,21%,7%,30%,70%,36%,94%,0%,0%,0%,0%,1,1,0.575696,NULL,B-
41,IGM Financial Inc,Asset management,Canada,Winnipeg,"$2,645,437,448.00","$865,336.48",90%,"$10,797,703.87",93%,"$21,163.50",10%,"$64,522,864.57",74%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18%,61%,4%,100%,48%,100%,39,62%,"$5,676.59","$115,222.41",67%,41%,0.05,80%,0,1,8%,55%,33%,79%,29%,87%,0%,0%,6%,61%,1,1,0.569997,NULL,B-
42,Xinyi Solar Holdings Ltd,Glass and ceramics,China,Wuhu,"$2,029,970,166.00",$77.47,11%,$804.61,10%,$440.72,21%,NULL,NULL,NULL,NULL,"$494,511.61",17%,"$1,369,750.45",8%,"$7,807,577.56",50%,8%,21%,100%,100%,100%,100%,318,6%,$993.14,NULL,NULL,38%,NULL,NULL,0,1,23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,NULL,0,NULL,NULL,B-
43,Sprouts Farmers Market Inc,Grocery stores,United States,Phoenix,"$6,468,759,000.00","$2,324.19",9%,"$32,676.94",35%,"$5,267.59",23%,"$125,292.64",24%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13%,47%,55%,100%,55%,100%,361,4%,$188.23,NULL,NULL,8%,2.49,56%,0,1,NULL,NULL,29%,66%,18%,73%,0%,0%,0%,0%,1,0,NULL,NULL,B-
44,TSMC,Semiconductor and electronic components manufacturing,Taiwan,Hsinchu City,"$89,164,767,710.00","$1,578.69",41%,"$8,307.64",40%,"$1,153.49",42%,"$3,097,397.01",66%,"$834,876,102.20",69%,"$523,390,277.70",77%,"$2,338,441,325.00",51%,NULL,NULL,7%,29%,51%,67%,51%,54%,60,44%,"$3,912.36","$6,575.38",2%,59%,NULL,NULL,0,1,5%,85%,10%,36%,10%,63%,50%,99%,3%,59%,1,1,NULL,0.01,B-
45,Vitasoy International Holdings Ltd,Food and beverage manufacturing,Hong Kong SAR,Hong Kong SAR,"$1,239,462,172.00",$894.95,20%,"$8,402.45",12%,$265.41,16%,"$145,975.36",22%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15%,57%,50%,79%,57%,93%,91,30%,"$1,675.92","$1,439.74",15%,41%,0.66,63%,0,1,26%,10%,18%,47%,40%,97%,36%,96%,40%,97%,1,1,NULL,NULL,B-
46,Samsung SDI Co Ltd,Semiconductor and electronic components manufacturing,South Korea,Yongin-Si,"$13,538,523,481.00",$572.19,16%,"$9,671.55",46%,"$1,699.54",54%,"$777,673.82",32%,NULL,NULL,"$193,104,029.10",41%,"$3,890,380,311.00",65%,"$213,777,411.70",29%,9%,40%,77%,72%,87%,62%,45,57%,"$4,016.19","$30,714.63",0%,60%,0.01,82%,0,1,11%,37%,14%,42%,0%,0%,0%,0%,0%,0%,1,1,NULL,0.05,B-
47,LONGi Green Energy Technology Co Ltd,Semiconductor and electronic components manufacturing,China,Xi'an,"$12,870,356,895.00","$1,005.25",39%,"$5,002.05",13%,$346.85,19%,NULL,NULL,"$182,687,819.70",33%,"$47,312,270.32",17%,"$18,926,995,433.00",70%,"$182,687,819.70",15%,6%,25%,100%,100%,100%,100%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0%,0%,0%,0%,0%,0%,0%,0%,NULL,1,NULL,NULL,B-
48,Apple Inc,Telephones and telecom equip manufacturing,United States,Cupertino,"$275,000,000,000.00","$173,632.46",77%,"$5,787,792.54",75%,"$51,699.37",73%,"$19,735,082.67",65%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,15%,60%,69%,100%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,1,0%,NULL,38%,86%,28%,86%,38%,96%,11%,74%,1,1,NULL,0.05,B-
49,Telus Corp,Telecom providers,Canada,Vancouver,"$12,880,772,460.00","$3,441.11",41%,"$48,135.87",66%,"$17,477.30",28%,"$3,745,499.41",18%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8%,59%,27%,83%,29%,75%,266,8%,$44.89,"$104,497.03",77%,14%,0.4,56%,0,1,12%,35%,43%,92%,33%,93%,14%,76%,17%,82%,1,1,0.552597,NULL,B-
50,HP Inc,Computers and peripherals manufacturing,United States,Palo Alto,"$56,639,000,000.00","$43,822.19",66%,"$331,222.22",79%,"$21,817.80",61%,"$6,857,021.79",28%,"$34,962,345,679.00",88%,NULL,NULL,NULL,NULL,NULL,NULL,12%,29%,50%,86%,1%,60%,426,3%,"$2,037.74","$226,735.85",91%,56%,0.06,63%,0,1,5%,69%,42%,91%,21%,77%,25%,90%,29%,93%,1,1,0.574994,0.025,B-
51,Atea ASA,Telephones and telecom equip manufacturing,Norway,Oslo,"$4,102,928,957.00","$31,505.98",87%,"$758,116.95",85%,"$565,453.27",73%,"$11,088,997.18",67%,NULL,NULL,"$1,206,743,811.00",53%,"$2,930,663,541.00",25%,NULL,NULL,12%,49%,44%,50%,3%,75%,9,95%,NULL,"$5,690.78",NULL,NULL,NULL,NULL,0,1,3%,95%,38%,86%,33%,93%,0%,0%,0%,0%,1,1,0.555313,0.01,B-
52,Tesla Inc,"Cars and trucks manufacturing, including parts",United States,Austin,"$31,536,000,000.00","$3,352.47",54%,NULL,NULL,"$15,145.79",65%,"$842,150.24",39%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3%,3%,100%,100%,100%,100%,NULL,NULL,NULL,NULL,NULL,NULL,11.1,2%,0,1,NULL,NULL,22%,54%,0%,0%,44%,98%,0%,0%,NULL,0,NULL,NULL,B-
53,Konica Minolta Inc,Machinery manufacturing,Japan,Tokyo,"$8,514,269,654.00","$1,716.96",14%,"$27,824.41",18%,"$2,947.13",18%,"$35,624,559.22",90%,"$53,214,185.34",41%,"$149,899,113.60",22%,NULL,NULL,"$14,679,775,266.00",72%,11%,23%,78%,60%,78%,56%,147,15%,"$1,580.07","$28,660.64",1%,48%,NULL,NULL,0,1,29%,3%,9%,35%,0%,0%,0%,0%,0%,0%,1,1,NULL,NULL,B-
54,Hewlett Packard Enterprise Co,Computers and peripherals manufacturing,United States,Houston,"$26,982,000,000.00","$65,919.15",88%,"$78,752.43",33%,"$19,720.25",59%,"$34,162,646.71",76%,"$11,731,304,348.00",75%,"$366,952,264.40",81%,"$1,125,187,656.00",19%,"$11,938,938,053.00",69%,10%,24%,42%,71%,37%,100%,NULL,NULL,"$1,622.03","$243,770.71",95%,48%,0.02,88%,0,1,5%,69%,38%,87%,6%,60%,23%,88%,31%,94%,1,1,0.550972,0.025,C+
55,SAP SE,IT services except telecom and hosting,Germany,Walldorf,"$39,735,465,116.00","$27,918.27",53%,"$181,440.48",44%,"$40,218.08",59%,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21%,83%,30%,33%,77%,100%,167,12%,"$7,654.60","$23,995.40",127%,80%,0.12,63%,0,1,7%,74%,44%,94%,23%,80%,11%,71%,0%,0%,1,1,0.550502,0.025,C+
