Rank 2021,Company,Peer Group (CKIG),Peer Group Rank,Country,Energy Productivity,Energy Productivity Score,Carbon Productivity,Carbon Productivity Score,Water Productivity,Water Productivity Score,Waste Productivity,Waste Productivity Score,VOC Productivity,NOx Productivity,SOx Productivity,PM  Productivity,VOC Productivity Score,NOx Productivity Score,SOx Productivity Score,PM  Productivity Score,% Taxes Paid,% Taxes Paid Score,% Clean Revenues,Clean Revenue Score,% Clean Investment,Clean Investment Score,CEO-Average Worker Pay Ratio,CEO-Average Worker Pay Score,Retirement contributions/FTE,Retirement contributions/FTE  Score,Fair value of plan assets/FTE,Fair value of plan assets/FTE  Score,Fair value/projected benefit obligation Percent,Fair value/projected benefit obligation  Score,Pension Fund Status,Lost-time Injury Rate,Lost-time Injury Rate  Score,Fatalities per FTE employee,Fatalities per FTE employee Score,Employee Turnover Rate,Employee Turnover Score,% Non-male on Board,% Non-male on Board  Score,% Non-male Senior Executives,% Non-male Senior Executives  Score,% Racial Diversity Among Boards,% Racial Diversity Among Board Score,% Racial Diversity Among Executives,% Racial Diversity Among Executives Score,Paid Sick Leave Score,Sustainability Paylink Score,Supplier Score,Fines deduction,Overall Score,,Energy Productivity - Weight,Carbon Productivity - Weight,Water Productivity - Weight,Waste Productivity - Weight,Injuries - Weight,Fatalities - Weight,Employee turnover - Weight,VOC Productivity - Weight,NOX Productivity - Weight,SOX Productivity - Weight,PM Productivity - Weight,Pension Fund Status - Weight,Cash taxes paid ratio - Weight,CEO-Average Worker Pay ratio - Weight,Clean Revenue - Weight,Clean Investment - Weight,Non-male on Board - Weight,Non-male in Executive Management - Weight,Racial Diversity Among Executives - Weight,Racial Diversity on Board of Directors - Weight,Paid Sick Leave,Sustainability Paylink - Weight,Supplier Score - Weight
11,Rexel SA,Industrial Distributors,#1/118,France,"$12,412",49.00%,"$185,475",43.70%,"$35,816",37.50%,"$1,923,368",60.00%,No Data,No Data,No Data,Not an appliable KPI,0.00%,0.00%,0.00%,Not an appliable KPI,12.70%,39.00%,11.70%,100.00%,0.00%,100.00%,34:1,71.50%,"$2,044",23.00%,"$52,505",50.00%,75.30%,35.70%,17.30%,1.22,75.00%,-,100.00%,17.20%,0.00%,45.50%,96.20%,16.70%,43.20%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,76.60%,,1%,2%,1%,2%,5%,5%,3%,0%,1%,1%,0%,3%,4%,3%,43%,8%,3%,3%,3%,3%,3%,5%,3%
12,Atlantica Sustainable Infrastructure PLC,Power Generation,#2/244,UK,$36,3.50%,$611,39.00%,$92,59.00%,"$34,742",22.40%,No Data,"$2,763,530","$1,444,931,429",No Data,0.00%,67.30%,88.70%,0.00%,0.50%,9.40%,86.00%,95.90%,59.80%,61.50%,17:1,50.00%,No Data,0.00%,No Data,0.00%,No Data,0.00%,0.00%,0.3,72.80%,-,100.00%,11.10%,24.20%,25.00%,52.90%,14.30%,33.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,40.20%,0.00%,76.50%,,0%,3%,9%,0%,0%,0%,0%,0%,4%,13%,1%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
13,Cisco Systems Inc,Communications Equipment,#1/60,USA,"$32,472",87.50%,"$74,950",50.00%,"$15,733",56.20%,"$25,720,515",100.00%,No Data,"$332,717,949","$87,972,881,356",No Data,0.00%,37.50%,50.00%,0.00%,19.80%,76.30%,58.00%,100.00%,32.50%,50.00%,149:1,0.00%,"$3,735",75.00%,$898,0.00%,12.20%,0.00%,56.30%,0.02,0.00%,-,100.00%,14.70%,0.00%,22.20%,51.30%,100.00%,99.90%,11.10%,64.50%,33.30%,93.80%,100.00%,100.00%,16.30%,0.00%,75.80%,,1%,2%,2%,1%,2%,6%,4%,0%,0%,0%,2%,3%,3%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
14,Storebrand ASA,Insurance,#1/236,Norway,"$9,094,145",98.30%,"$48,879,137",91.70%,"$602,707",87.50%,"$151,778,149",74.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,0.60%,7.50%,2.60%,100.00%,1.10%,100.00%,6:1,91.00%,"$13,237",83.00%,"$57,516",25.50%,79.00%,39.40%,62.30%,-,100.00%,-,100.00%,5.10%,92.50%,40.00%,88.60%,30.00%,77.30%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,3.90%,0.00%,75.20%,,0%,0%,0%,0%,2%,2%,4%,1%,1%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
15,Owens Corning,Building Materials,#1/153,USA,$228,57.60%,"$1,703",35.90%,$642,41.10%,"$21,755",6.50%,"$3,213,645","$4,052,066","$3,910,431","$3,302,583",4.20%,82.80%,58.10%,39.40%,5.70%,19.50%,64.00%,100.00%,6.80%,0.00%,115:1**,0.00%,"$4,909",75.00%,"$58,443",50.00%,83.40%,59.00%,58.50%,1.72,27.30%,0.00005223,52.40%,17.00%,25.00%,27.30%,63.60%,25.00%,62.50%,18.20%,74.40%,12.50%,72.30%,100.00%,100.00%,0.00%,0.00%,74.60%,,2%,2%,1%,1%,0%,0%,0%,1%,9%,12%,2%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
16,Eisai Co Ltd,Pharmaceuticals and Biotechnology,#1/417,Japan,"$2,589",28.40%,"$60,978",40.50%,"$2,033",28.50%,"$7,435,107",63.10%,"$285,632,016","$230,039,207","$659,150,806","$1,123,798,096",56.50%,48.80%,31.40%,50.00%,10.30%,39.70%,32.50%,89.40%,32.50%,100.00%,12:1,67.70%,"$2,756",36.70%,"$88,226",50.00%,101.80%,84.60%,36.20%,0.03,100.00%,-,100.00%,7.50%,97.70%,9.10%,6.70%,16.70%,43.20%,9.10%,58.00%,10.00%,68.00%,100.00%,100.00%,53.40%,0.00%,74.30%,,2%,2%,5%,2%,2%,1%,3%,2%,1%,1%,0%,4%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
17,Cascades Inc,Packaging,#1/47,Canada,$242,33.90%,"$5,132",40.60%,$227,31.80%,"$33,746",28.10%,"$2,888,209","$6,940,324","$10,333,371","$78,962,551",59.30%,79.10%,56.20%,29.10%,0.10%,0.00%,93.10%,100.00%,93.10%,100.00%,50:1,100.00%,"$2,035",33.30%,"$32,158",30.70%,92.40%,82.30%,28.20%,1.7,40.00%,-,100.00%,21.90%,12.50%,46.20%,96.70%,7.70%,6.40%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,2.50%,73.40%,,2%,1%,3%,2%,0%,0%,0%,9%,4%,8%,1%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
18,Brambles Ltd,Assorted Business Support Services,#1/115,Australia,"$17,543",83.60%,"$107,977",69.80%,"$23,434",68.70%,"$82,922",0.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,2.70%,3.70%,71.00%,100.00%,71.00%,100.00%,44:1,78.60%,"$1,625",76.10%,"$21,707",57.10%,87.40%,56.00%,60.40%,1.6,75.00%,0.00008288,0.00%,30.70%,21.50%,33.30%,80.90%,30.80%,79.90%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,10.90%,0.00%,72.90%,,2%,2%,1%,2%,4%,1%,3%,1%,0%,3%,5%,1%,2%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
19,Iberdrola SA,Power Generation,#3/244,Spain,$125,28.30%,"$3,435",77.00%,$603,72.00%,"$75,951",37.80%,"$118,549,448","$1,049,261","$30,214,307","$46,562,783",48.40%,46.90%,89.90%,57.60%,7.40%,58.20%,60.00%,90.40%,68.90%,73.00%,77:1,10.80%,"$15,121",75.40%,"$364,225",57.10%,78.10%,49.50%,58.20%,1.3,22.80%,0.00014237,33.40%,6.70%,56.50%,33.30%,80.90%,11.10%,17.70%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,48.10%,5.00%,72.80%,,0%,3%,9%,0%,0%,0%,0%,0%,4%,13%,1%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
20,Taiwan Semiconductor Manufacturing Co Ltd,Electronic Products,#1/365,Taiwan,"$1,577",19.90%,"$8,678",9.00%,"$1,184",24.70%,"$3,566,103",72.30%,"$745,364,417","$652,281,709","$2,364,875,916",No Data,71.10%,53.10%,50.10%,0.00%,7.90%,34.30%,60.70%,96.20%,50.00%,96.00%,137:1,10.00%,"$3,978",72.40%,"$5,964",21.00%,31.90%,13.10%,54.30%,No Data,0.00%,-,100.00%,5.00%,91.50%,20.00%,37.90%,27.30%,73.20%,30.00%,88.50%,9.10%,67.20%,100.00%,100.00%,0.00%,1.00%,72.80%,,3%,4%,6%,1%,2%,2%,2%,2%,0%,0%,0%,2%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
21,Vestas Wind Systems A/S,Electronic Products,#2/365,Denmark,"$12,981",81.20%,"$162,912",61.80%,"$37,542",90.50%,"$422,796",13.80%,"$65,768,326",No Data,No Data,No Data,20.70%,0.00%,0.00%,0.00%,14.40%,66.80%,100.00%,99.20%,100.00%,99.20%,30:1,63.40%,"$3,606",70.60%,No Data,0.00%,No Data,0.00%,53.00%,0.24,68.50%,0.0000783,8.00%,13.80%,40.50%,25.00%,52.90%,14.30%,33.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,33.60%,0.00%,72.60%,,3%,4%,6%,1%,2%,2%,2%,2%,0%,0%,0%,2%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
22,UPM-Kymmene Oyj,Forest Products,#1/67,Finland,$179,57.70%,"$2,580",27.10%,$34,57.10%,"$125,035",58.30%,"$22,676,849","$1,760,791","$13,606,109","$13,606,109",75.00%,42.10%,47.20%,60.00%,11.30%,61.20%,80.00%,92.80%,52.50%,80.00%,86:1,10.00%,"$8,190",95.00%,"$85,176",38.80%,61.20%,6.60%,71.30%,1.36,58.40%,0.00005336,55.60%,9.20%,56.30%,30.00%,68.80%,16.70%,43.20%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,1.00%,72.40%,,1%,1%,11%,1%,0%,0%,0%,8%,3%,3%,1%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
23,Osram Licht AG,Electronic Products,#3/365,Germany,"$2,442",32.50%,"$16,931",21.60%,"$1,684",27.80%,"$888,412",31.60%,"$210,997,913",No Data,No Data,No Data,50.80%,0.00%,0.00%,0.00%,10.30%,46.60%,69.40%,97.70%,51.10%,96.80%,64:1,30.00%,"$4,106",77.50%,"$68,304",81.50%,87.90%,75.00%,72.30%,0.29,60.60%,-,100.00%,18.30%,21.30%,33.30%,80.90%,33.30%,87.10%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,72.30%,,3%,4%,6%,1%,2%,2%,2%,2%,0%,0%,0%,2%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
24,Chr Hansen Holding A/S,Pharmaceuticals and Biotechnology,#2/417,Denmark,"$3,569",45.60%,"$35,278",16.10%,"$1,170",15.90%,"$678,112",35.90%,"$398,197,566","$25,815,650","$27,260,165","$56,026,513",56.90%,14.50%,0.70%,29.10%,15.10%,58.80%,82.30%,94.70%,12.20%,88.20%,33:1,53.00%,"$9,062",81.60%,"$2,436",0.00%,42.20%,3.80%,61.20%,1.32,29.10%,-,100.00%,10.00%,71.50%,36.40%,84.20%,22.20%,60.40%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,49.90%,0.00%,72.30%,,2%,2%,5%,2%,2%,1%,3%,2%,1%,1%,0%,4%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
25,Siemens AG,Industrial Conglomerates,#2/53,Germany,"$10,695",88.20%,"$99,190",64.60%,"$6,409",77.70%,"$2,629,173",83.10%,"$143,623,027","$641,226,039",No Data,No Data,65.00%,82.50%,0.00%,0.00%,20.90%,76.00%,44.20%,83.30%,34.70%,86.90%,192:1,0.00%,"$14,254",100.00%,"$118,875",58.80%,77.70%,60.60%,79.90%,0.36,69.30%,0.00001818,30.00%,9.50%,81.90%,35.00%,82.40%,25.00%,62.50%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,61.70%,1.00%,72.00%,,2%,2%,3%,2%,2%,1%,2%,3%,4%,2%,1%,2%,2%,3%,43%,8%,3%,3%,3%,3%,3%,5%,3%
26,Trane Technologies PLC,Building Materials,#2/153,USA,"$4,740",86.70%,"$28,512",87.10%,"$4,493",65.30%,"$1,098,077",67.50%,"$48,609,294","$129,927,464","$2,126,162,602","$2,343,351,254",75.00%,83.30%,82.40%,75.00%,16.40%,63.60%,30.00%,82.70%,13.60%,33.30%,No Data,0.00%,"$6,434",90.60%,"$86,363",63.60%,92.10%,69.80%,76.30%,0.1,100.00%,-,100.00%,No Data,0.00%,33.30%,80.90%,12.50%,18.70%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,72.00%,,2%,2%,1%,1%,0%,0%,0%,1%,9%,12%,2%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
27,Verbund AG,Power Generation,#5/244,Austria,$449,44.90%,"$3,887",62.30%,$35,56.30%,No Data,0.00%,No Data,"$11,987,478","$50,839,750",No Data,0.00%,93.20%,82.90%,0.00%,4.30%,40.30%,92.30%,97.90%,20.20%,23.00%,No Data,0.00%,"$8,433",47.10%,"$81,604",14.20%,19.50%,2.90%,35.30%,6.4,0.00%,No Data,0.00%,5.10%,75.90%,46.70%,96.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,71.80%,,0%,3%,9%,0%,0%,0%,0%,0%,4%,13%,1%,0%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
28,Akzo Nobel NV,Chemicals,#3/257,Netherlands,"$3,265",88.90%,"$56,176",93.80%,"$1,685",88.90%,"$410,921",75.40%,"$11,395,288","$193,719,892","$339,009,811",No Data,44.40%,84.60%,74.30%,0.00%,16.10%,69.60%,22.00%,61.10%,61.40%,96.90%,64:1,32.20%,"$3,720",38.30%,"$661,176",95.70%,104.60%,90.50%,50.30%,0.08,100.00%,0.00005917,20.00%,14.00%,15.00%,37.50%,84.80%,40.00%,91.40%,12.50%,67.70%,20.00%,85.70%,100.00%,100.00%,3.60%,0.00%,71.80%,,4%,4%,9%,1%,0%,0%,0%,3%,2%,3%,1%,1%,0%,0%,43%,8%,3%,3%,3%,3%,3%,5%,3%
29,IGM Financial Inc,Banks and Investment Services,#2/935,Canada,"$242,163",82.10%,"$3,118,718",56.30%,"$14,970",10.10%,No Data,0.00%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,16.40%,57.70%,3.60%,90.50%,0.10%,75.70%,54:1,30.40%,"$5,996",60.50%,"$106,084",50.00%,73.50%,22.80%,45.40%,0.19,67.90%,-,100.00%,15.20%,21.40%,33.30%,80.90%,46.20%,96.20%,0.00%,0.00%,15.40%,79.30%,100.00%,100.00%,10.30%,0.00%,71.80%,,1%,1%,1%,0%,2%,1%,5%,0%,0%,0%,0%,9%,6%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
30,Hewlett Packard Enterprise Co,Technology Hardware,#1/83,USA,"$17,793",30.50%,"$124,229",35.70%,"$16,910",38.80%,"$25,826,840",79.10%,"$10,911,985,019","$364,278,570","$1,155,692,186","$11,205,769,231",77.50%,81.30%,4.20%,81.30%,9.60%,16.80%,43.60%,80.00%,6.70%,100.00%,143:1,40.00%,"$17,367",92.80%,"$223,949",91.60%,93.60%,80.80%,87.70%,0.11,50.00%,-,100.00%,7.00%,57.20%,38.50%,88.30%,6.70%,4.70%,23.10%,83.00%,26.70%,91.30%,100.00%,100.00%,3.60%,0.00%,71.50%,,1%,2%,2%,0%,2%,0%,5%,2%,1%,0%,0%,6%,5%,4%,43%,8%,3%,3%,3%,3%,3%,5%,3%
31,Acciona SA,Construction & Engineering Services,#2/251,Spain,"$5,222",83.10%,"$63,458",62.70%,"$4,239",58.70%,"$11,148",58.70%,No Data,"$6,283,188","$54,465,146","$142,050,990",0.00%,33.90%,56.30%,100.00%,5.10%,19.10%,57.70%,100.00%,80.10%,50.00%,108:1,4.20%,$4,0.00%,$72,0.00%,70.90%,43.80%,0.00%,2.5,33.40%,-,100.00%,7.10%,71.00%,27.30%,63.60%,13.30%,25.30%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,1.00%,71.50%,,1%,1%,1%,14%,1%,1%,1%,0%,2%,4%,1%,1%,1%,1%,43%,8%,3%,3%,3%,3%,3%,5%,3%
32,Sysmex Corp,Health Care Equipment,#1/135,Japan,"$7,569",48.40%,"$137,310",30.00%,"$6,920",25.70%,"$3,666,363",52.90%,No Data,No Data,No Data,No Data,0.00%,0.00%,0.00%,0.00%,22.50%,89.30%,96.70%,100.00%,100.00%,100.00%,1:1,100.00%,"$122,714",100.00%,"$25,796,756",100.00%,114.40%,100.00%,100.00%,0.03,100.00%,-,100.00%,0.50%,100.00%,8.30%,3.60%,0.00%,0.00%,0.00%,0.00%,18.20%,83.80%,100.00%,0.00%,0.00%,0.00%,71.40%,,2%,2%,2%,1%,3%,2%,3%,4%,3%,1%,1%,3%,3%,2%,43%,8%,3%,3%,3%,3%,3%,5%,3%
33,ABB Ltd,Industrial Conglomerates,#3/53,Switzerland,"$3,336",52.00%,"$28,034",23.60%,"$3,330",35.30%,"$582,875",46.80%,"$24,803,191","$131,352,113","$363,350,649",No Data,15.00%,41.30%,57.50%,0.00%,25.60%,90.00%,57.00%,91.60%,41.50%,91.30%,No Data,0.00%,"$2,902",65.00%,"$72,265",35.20%,84.90%,69.60%,50.00%,1.23,38.50%,0.00001385,40.00%,15.00%,45.50%,18.20%,37.50%,22.20%,60.40%,18.20%,74.40%,22.20%,89.50%,100.00%,100.00%,0.00%,0.00%,71.30%,,2%,2%,3%,2%,2%,1%,2%,3%,4%,2%,1%,2%,2%,3%,43%,8%,3%,3%,3%,3%,3%,5%,3%
34,Arcelik AS,Home Appliances and Houseware,#1/25,Turkey,"$16,549",85.00%,"$176,908",63.80%,"$11,650",66.30%,"$359,332",56.20%,No Data,No Data,"$102,085,904,515",Not an appliable KPI,0.00%,0.00%,75.00%,Not an appliable KPI,5.90%,23.80%,26.50%,100.00%,7.20%,100.00%,No Data,0.00%,"$1,994",40.00%,No Data,0.00%,No Data,0.00%,30.00%,0.31,100.00%,No Data,0.00%,18.30%,0.00%,16.70%,34.20%,14.50%,33.30%,0.00%,0.00%,2.90%,60.70%,0.00%,100.00%,0.00%,0.00%,71.00%,,1%,2%,3%,4%,3%,1%,3%,2%,0%,2%,0%,2%,3%,3%,43%,8%,3%,3%,3%,3%,3%,5%,3%
